"IT_DATETIME,""DS_CODE"",""DS_NAME"",""DS_DESC"",""DS_LAT"",""DS_LON"",""DS_ALT"",""REN1.RD"",""REN1.Q_RD"",""REH1.PG"",""REH1.Q_PG"",""REH1.TX"",""REH1.Q_TX"",""REH1.DDVEC"",""REH1.Q_DDVEC"",""REH1.DDFHX"",""REH1.Q_DDFHX"",""REH1.TXG"",""REH1.Q_TXG"",""REH1.UG"",""REH1.Q_UG"",""REH1.TG"",""REH1.Q_TG"",""REH1.FHX"",""REH1.Q_FHX"",""REH1.TN"",""REH1.Q_TN"",""REH1.FG"",""REH1.Q_FG"""
"19701231_240000_000000,""130_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19701231_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710101_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""-3.6"",,,,,,,,""84"",,""-6.5"",,,,""-10.1"",,,"
"19710101_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710102_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""-1.2"",,,,,,,,""84"",,""-2.1"",,,,""-3.6"",,,"
"19710102_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710103_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""-2.7"",,,,,,,,""90"",,""-4.8"",,,,""-9.9"",,,"
"19710103_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710104_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""-2.6"",,,,,,,,""93"",,""-5.3"",,,,""-10.4"",,,"
"19710104_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
