"IT_DATETIME","DS_CODE","DS_NAME","DS_DESC","DS_LAT","DS_LON","DS_ALT","REN1.RD","REN1.Q_RD","REH1.Q24","REH1.Q_Q24","REH1.PG","REH1.Q_PG","REH1.TX","REH1.Q_TX","REH1.UG","REH1.Q_UG","REH1.TG","REH1.Q_TG","REH1.TN","REH1.Q_TN"
"19900130_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"10.6",,"68",,"8.7",,"5.8",
"19900130_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"11.6",,"70",,"9.1",,"6.1",
"19900131_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"12.1",,"56",,"10.8",,"9.9",
"19900131_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"12.9",,"56",,"11.7",,"10.2",
"19900201_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"10.8",,"65",,"8.8",,"7.8",
"19900201_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"11.3",,"65",,"9.4",,"8.4",
"19900202_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"9.5",,"65",,"7.7",,"5.8",
"19900202_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"9.7",,"64",,"8.1",,"7.2",
"19900203_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"13.5",,"68",,"8.3",,"5.8",
"19900203_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"14.2",,"68",,"8.7",,"6.4",
"19900204_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"9.7",,"69",,"7.0",,"4.7",
"19900204_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"10.4",,"74",,"7.2",,"4.9",
"19900205_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"14.8",,"52",,"9.1",,"5.3",
"19900205_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"14.9",,"64",,"8.3",,"2.5",
"19900206_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"13.9",,"62",,"9.8",,"1.7",
"19900206_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"14.5",,"64",,"10.4",,"1.1",
"19900207_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"14.1",,"63",,"11.6",,"8.5",
"19900207_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"14.4",,"65",,"12.0",,"9.3",
"19900208_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"15.4",,"67",,"9.6",,"6.0",
"19900208_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"15.1",,"68",,"9.9",,"6.0",
"19900209_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"9.2",,"78",,"5.7",,"3.1",
"19900209_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"9.9",,"76",,"6.3",,"3.9",
