# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 235         4.781       52.928      1.20        De Kooy Airport
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# EV24      : Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)
# STN,YYYYMMDD,   RH, EV24
  235,19570101,   78,     
  235,19570102,    2,     
  235,19570103,  160,     
  235,19570104,    3,     
  235,19570105,   13,     
  235,19570106,   14,     
  235,19570107,    0,     
  235,19570108,    0,     
  235,19570109,    2,     
  235,19570110,    6,     
  235,19570111,    1,     
  235,19570112,   46,     
  235,19570113,   25,     
  235,19570114,    0,     
  235,19570115,    5,     
  235,19570116,    0,     
  235,19570117,    3,     
  235,19570118,    3,     
  235,19570119,    0,     
  235,19570120,    0,     
  235,19570121,    9,     
  235,19570122,    0,     
  235,19570123,    0,     
  235,19570124,    3,     
  235,19570125,    1,     
  235,19570126,   17,     
  235,19570127,    0,     
  235,19570128,    0,     
  235,19570129,   18,     
  235,19570130,    8,     
  235,19570131,   66,     
  235,19570201,   89,     
  235,19570202,    0,     
  235,19570203,    1,     
  235,19570204,    0,     
  235,19570205,   60,     
  235,19570206,    4,     
  235,19570207,   14,     
  235,19570208,   71,     
  235,19570209,    0,     
  235,19570210,   38,     
  235,19570211,   48,     
  235,19570212,   39,     
  235,19570213,   51,     
  235,19570214,    7,     
  235,19570215,   33,     
  235,19570216,    3,     
  235,19570217,   31,     
  235,19570218,    0,     
  235,19570219,    7,     
  235,19570220,    3,     
  235,19570221,    0,     
  235,19570222,    2,     
  235,19570223,   45,     
  235,19570224,   10,     
  235,19570225,   39,     
  235,19570226,    6,     
  235,19570227,    0,     
  235,19570228,    0,     
  235,19570301,    0,     
  235,19570302,    0,     
  235,19570303,    0,     
  235,19570304,    2,     
  235,19570305,    0,     
  235,19570306,   10,     
  235,19570307,    5,     
  235,19570308,    2,     
  235,19570309,   14,     
  235,19570310,    1,     
  235,19570311,    0,     
  235,19570312,    0,     
  235,19570313,    0,     
  235,19570314,    0,     
  235,19570315,   92,     
  235,19570316,   28,     
  235,19570317,  130,     
  235,19570318,    0,     
  235,19570319,   95,     
  235,19570320,    1,     
  235,19570321,   34,     
  235,19570322,    2,     
  235,19570323,   16,     
  235,19570324,    0,     
  235,19570325,    0,     
  235,19570326,   15,     
  235,19570327,   91,     
  235,19570328,    1,     
  235,19570329,    0,     
  235,19570330,    0,     
  235,19570331,    0,     
  235,19570401,    0,     
  235,19570402,    1,     
  235,19570403,    2,     
