# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 240         4.790       52.318      -3.30       Schiphol Airport
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# EV24      : Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)
# STN,YYYYMMDD,   RH, EV24
  240,19570101,     ,     
  240,19570102,     ,     
  240,19570103,     ,     
  240,19570104,     ,     
  240,19570105,     ,     
  240,19570106,     ,     
  240,19570107,     ,     
  240,19570108,     ,     
  240,19570109,     ,     
  240,19570110,     ,     
  240,19570111,     ,     
  240,19570112,     ,     
  240,19570113,     ,     
  240,19570114,     ,     
  240,19570115,     ,     
  240,19570116,     ,     
  240,19570117,     ,     
  240,19570118,     ,     
  240,19570119,     ,     
  240,19570120,     ,     
  240,19570121,     ,     
  240,19570122,     ,     
  240,19570123,     ,     
  240,19570124,     ,     
  240,19570125,     ,     
  240,19570126,     ,     
  240,19570127,     ,     
  240,19570128,     ,     
  240,19570129,     ,     
  240,19570130,     ,     
  240,19570131,     ,     
  240,19570201,     ,     
  240,19570202,     ,     
  240,19570203,     ,     
  240,19570204,     ,     
  240,19570205,     ,     
  240,19570206,     ,     
  240,19570207,     ,     
  240,19570208,     ,     
  240,19570209,     ,     
  240,19570210,     ,     
  240,19570211,     ,     
  240,19570212,     ,     
  240,19570213,     ,     
  240,19570214,     ,     
  240,19570215,     ,     
  240,19570216,     ,     
  240,19570217,     ,     
  240,19570218,     ,     
  240,19570219,     ,     
  240,19570220,     ,     
  240,19570221,     ,     
  240,19570222,     ,     
  240,19570223,     ,     
  240,19570224,     ,     
  240,19570225,     ,     
  240,19570226,     ,     
  240,19570227,     ,     
  240,19570228,     ,     
  240,19570301,     ,     
  240,19570302,     ,     
  240,19570303,     ,     
  240,19570304,     ,     
  240,19570305,     ,     
  240,19570306,     ,     
  240,19570307,     ,     
  240,19570308,     ,     
  240,19570309,     ,     
  240,19570310,     ,     
  240,19570311,     ,     
  240,19570312,     ,     
  240,19570313,     ,     
  240,19570314,     ,     
  240,19570315,     ,     
  240,19570316,     ,     
  240,19570317,     ,     
  240,19570318,     ,     
  240,19570319,     ,     
  240,19570320,     ,     
  240,19570321,     ,     
  240,19570322,     ,     
  240,19570323,     ,     
  240,19570324,     ,     
  240,19570325,     ,     
  240,19570326,     ,     
  240,19570327,     ,     
  240,19570328,     ,     
  240,19570329,     ,     
  240,19570330,     ,     
  240,19570331,     ,     
  240,19570401,     ,     
  240,19570402,     ,     
  240,19570403,     ,     
  240,19570404,     ,     
  240,19570405,     ,     
  240,19570406,     ,     
  240,19570407,     ,     
  240,19570408,     ,     
  240,19570409,     ,     
  240,19570410,     ,     
  240,19570411,     ,     
  240,19570412,     ,     
  240,19570413,     ,     
  240,19570414,     ,     
  240,19570415,     ,     
  240,19570416,     ,     
  240,19570417,     ,     
  240,19570418,     ,     
  240,19570419,     ,     
  240,19570420,     ,     
  240,19570421,     ,     
  240,19570422,     ,     
  240,19570423,     ,     
  240,19570424,     ,     
  240,19570425,     ,     
  240,19570426,     ,     
  240,19570427,     ,     
  240,19570428,     ,     
  240,19570429,     ,     
  240,19570430,     ,     
  240,19570501,     ,     
  240,19570502,     ,     
  240,19570503,     ,     
  240,19570504,     ,     
  240,19570505,     ,     
  240,19570506,     ,     
  240,19570507,     ,     
  240,19570508,     ,     
  240,19570509,     ,     
  240,19570510,     ,     
  240,19570511,     ,     
  240,19570512,     ,     
  240,19570513,     ,     
  240,19570514,     ,     
  240,19570515,     ,     
  240,19570516,     ,     
  240,19570517,     ,     
  240,19570518,     ,     
  240,19570519,     ,     
  240,19570520,     ,     
  240,19570521,     ,     
  240,19570522,     ,     
  240,19570523,     ,     
  240,19570524,     ,     
  240,19570525,     ,     
  240,19570526,     ,     
  240,19570527,     ,     
  240,19570528,     ,     
  240,19570529,     ,     
  240,19570530,     ,     
  240,19570531,     ,     
  240,19570601,     ,     
  240,19570602,     ,     
  240,19570603,     ,     
  240,19570604,     ,     
  240,19570605,     ,     
  240,19570606,     ,     
  240,19570607,     ,     
  240,19570608,     ,     
  240,19570609,     ,     
  240,19570610,     ,     
  240,19570611,     ,     
  240,19570612,     ,     
  240,19570613,     ,     
  240,19570614,     ,     
  240,19570615,     ,     
  240,19570616,     ,     
  240,19570617,     ,     
  240,19570618,     ,     
  240,19570619,     ,     
  240,19570620,     ,     
  240,19570621,     ,     
  240,19570622,     ,     
  240,19570623,     ,     
  240,19570624,     ,     
  240,19570625,     ,     
  240,19570626,     ,     
  240,19570627,     ,     
  240,19570628,     ,     
  240,19570629,     ,     
  240,19570630,     ,     
  240,19570701,     ,     
  240,19570702,     ,     
  240,19570703,     ,     
  240,19570704,     ,     
  240,19570705,     ,     
  240,19570706,     ,     
  240,19570707,     ,     
  240,19570708,     ,     
  240,19570709,     ,     
  240,19570710,     ,     
  240,19570711,     ,     
  240,19570712,     ,     
  240,19570713,     ,     
  240,19570714,     ,     
  240,19570715,     ,     
  240,19570716,     ,     
  240,19570717,     ,     
  240,19570718,     ,     
  240,19570719,     ,     
  240,19570720,     ,     
  240,19570721,     ,     
  240,19570722,     ,     
  240,19570723,     ,     
  240,19570724,     ,     
  240,19570725,     ,     
  240,19570726,     ,     
  240,19570727,     ,     
  240,19570728,     ,     
  240,19570729,     ,     
  240,19570730,     ,     
  240,19570731,     ,     
  240,19570801,     ,     
  240,19570802,     ,     
  240,19570803,     ,     
  240,19570804,     ,     
  240,19570805,     ,     
  240,19570806,     ,     
  240,19570807,     ,     
  240,19570808,     ,     
  240,19570809,     ,     
