# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 249         4.979       52.644      -2.40       Berkhout    
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# EV24      : Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)
# STN,YYYYMMDD,   RH, EV24
  249,19990323,   77,    8
  249,19990324,    0,    7
  249,19990325,   -1,   18
  249,19990326,   75,    9
  249,19990327,    0,   18
  249,19990328,    0,   21
  249,19990329,    0,   23
  249,19990330,   46,    6
  249,19990331,    0,   24
  249,19990401,    0,   27
  249,19990402,    0,   26
  249,19990403,  123,   10
  249,19990404,   -1,    9
  249,19990405,   -1,    7
  249,19990406,   23,    6
  249,19990407,    8,   16
  249,19990408,    0,    7
  249,19990409,    1,    9
  249,19990410,   37,    6
  249,19990411,    0,   18
  249,19990412,   87,   13
  249,19990413,   75,   15
  249,19990414,   75,   20
  249,19990415,    4,   16
  249,19990416,   -1,   19
  249,19990417,    2,   25
  249,19990418,    0,   17
  249,19990419,    0,   27
  249,19990420,    5,   26
  249,19990421,   54,   21
  249,19990422,   42,   26
  249,19990423,   -1,   29
  249,19990424,   -1,   21
  249,19990425,    0,   34
  249,19990426,    0,   34
  249,19990427,    0,   36
  249,19990428,    0,   33
  249,19990429,    0,   36
  249,19990430,    0,   37
  249,19990501,    0,   26
  249,19990502,    0,   36
  249,19990503,    0,   37
  249,19990504,    0,   32
  249,19990505,   55,   15
  249,19990506,   85,    6
  249,19990507,   38,   29
  249,19990508,   14,   35
  249,19990509,    0,   39
  249,19990510,   26,   22
  249,19990511,    6,   34
  249,19990512,   -1,   29
  249,19990513,   -1,   32
  249,19990514,   21,   32
  249,19990515,    4,   32
  249,19990516,   21,   13
  249,19990517,    0,   42
  249,19990518,    0,   47
  249,19990519,    0,   45
  249,19990520,   12,   18
  249,19990521,   17,   41
  249,19990522,    2,   35
  249,19990523,    0,   27
  249,19990524,   -1,   12
  249,19990525,   -1,   40
  249,19990526,    0,   39
  249,19990527,    0,   50
  249,19990528,   -1,   40
  249,19990529,   -1,   45
  249,19990530,   10,   17
  249,19990531,    0,   39
  249,19990601,    0,   45
  249,19990602,   42,   25
  249,19990603,   38,   32
  249,19990604,   64,   20
  249,19990605,   53,   26
  249,19990606,   26,   27
  249,19990607,   59,   26
  249,19990608,   52,   30
  249,19990609,    2,   44
  249,19990610,    1,   30
  249,19990611,   17,   23
  249,19990612,    0,   24
  249,19990613,    0,   39
  249,19990614,    0,   49
  249,19990615,    0,   38
  249,19990616,    0,   53
  249,19990617,    2,   36
  249,19990618,   -1,   39
  249,19990619,    0,   50
  249,19990620,   50,   20
  249,19990621,   -1,   38
  249,19990622,   16,   43
  249,19990623,    6,   23
  249,19990624,    1,   33
  249,19990625,    6,   47
  249,19990626,    0,   51
  249,19990627,   49,   23
  249,19990628,   92,   32
  249,19990629,   65,   14
  249,19990630,    3,   37
  249,19990701,   24,   17
  249,19990702,   -1,   32
  249,19990703,   51,   31
  249,19990704,   47,   35
  249,19990705,   39,    7
  249,19990706,    0,   32
  249,19990707,    0,   40
  249,19990708,    0,   36
  249,19990709,    0,   49
  249,19990710,    0,   50
  249,19990711,    0,   52
  249,19990712,    0,   48
  249,19990713,    0,   26
  249,19990714,   24,   27
  249,19990715,    2,   36
  249,19990716,    0,   45
  249,19990717,    0,   31
  249,19990718,    0,   42
  249,19990719,   -1,   39
  249,19990720,    4,   25
  249,19990721,    3,   24
  249,19990722,   54,    9
  249,19990723,   -1,   27
  249,19990724,    0,   48
  249,19990725,    0,   32
  249,19990726,    0,   30
  249,19990727,    0,   34
  249,19990728,    0,   48
  249,19990729,    0,   50
  249,19990730,    0,   49
  249,19990731,    0,   44
  249,19990801,    0,   49
  249,19990802,    0,   48
  249,19990803,   -1,   33
  249,19990804,    0,   41
  249,19990805,    2,   23
  249,19990806,    0,   43
  249,19990807,   77,    8
  249,19990808,   24,   15
  249,19990809,   17,   32
  249,19990810,  122,   17
  249,19990811,   -1,   24
  249,19990812,    0,   28
  249,19990813,   14,   18
  249,19990814,  114,   18
  249,19990815,   -1,   32
  249,19990816,    0,   32
  249,19990817,    5,   17
  249,19990818,  240,   18
  249,19990819,  161,   18
  249,19990820,  104,   15
  249,19990821,    2,   23
  249,19990822,    0,   16
  249,19990823,    0,   33
  249,19990824,   -1,   29
  249,19990825,   -1,   26
  249,19990826,  103,   30
  249,19990827,    0,   28
  249,19990828,    0,   32
  249,19990829,    0,   35
  249,19990830,   -1,   23
  249,19990831,   -1,   16
  249,19990901,    1,   12
  249,19990902,    0,   32
  249,19990903,    0,   36
  249,19990904,    0,   22
  249,19990905,    0,   33
  249,19990906,    0,   26
  249,19990907,    0,   20
  249,19990908,    0,   26
  249,19990909,    0,   21
  249,19990910,    0,   21
  249,19990911,    0,   31
  249,19990912,    0,   28
  249,19990913,   -1,   19
