# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 251         5.346       53.392      0.70        Hoorn Terschelling
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# EV24      : Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)
# STN,YYYYMMDD,   RH, EV24
  251,19940526,     ,     
  251,19940527,     ,     
  251,19940528,     ,     
  251,19940529,     ,     
  251,19940530,     ,     
  251,19940531,     ,     
  251,19940601,    0,   46
  251,19940602,   13,   12
  251,19940603,   -1,   39
  251,19940604,   20,   22
  251,19940605,   -1,   38
  251,19940606,   15,   21
  251,19940607,   18,   19
  251,19940608,   -1,   15
  251,19940609,   32,   30
  251,19940610,   14,   25
  251,19940611,    2,   37
  251,19940612,    0,   36
  251,19940613,    0,   39
  251,19940614,    0,   46
  251,19940615,   -1,   28
  251,19940616,    6,   22
  251,19940617,    0,   34
  251,19940618,   -1,   14
  251,19940619,    0,   24
  251,19940620,   -1,   34
  251,19940621,   58,   15
  251,19940622,    2,   39
  251,19940623,    0,   44
  251,19940624,    0,   47
  251,19940625,   21,   23
  251,19940626,    0,   37
  251,19940627,   -1,   28
  251,19940628,   -1,   49
  251,19940629,   45,   37
  251,19940630,    0,   48
  251,19940701,    0,   50
  251,19940702,    0,   42
  251,19940703,    0,   44
  251,19940704,  120,   23
  251,19940705,    0,   35
  251,19940706,    0,   36
  251,19940707,   37,   15
  251,19940708,    0,   25
  251,19940709,    0,   30
  251,19940710,    0,   49
  251,19940711,    0,   48
  251,19940712,    0,   52
  251,19940713,   81,   46
  251,19940714,  102,   12
  251,19940715,    0,   38
  251,19940716,    0,   38
  251,19940717,    0,   43
  251,19940718,    0,   45
  251,19940719,    0,   49
  251,19940720,    0,   46
  251,19940721,    0,   48
  251,19940722,    0,   45
  251,19940723,    0,   43
