# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 278         6.259       52.435      3.60        Heino       
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# EV24      : Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)
# STN,YYYYMMDD,   RH, EV24
  278,19891012,     ,     
  278,19891013,     ,     
  278,19891018,     ,     
  278,19891019,     ,     
  278,19891024,     ,     
  278,19891025,     ,     
  278,19891026,     ,     
  278,19891027,     ,     
  278,19891030,     ,     
  278,19891031,     ,     
  278,19891101,     ,     
  278,19891102,     ,     
  278,19891103,     ,     
  278,19891104,     ,     
  278,19891105,     ,     
  278,19891107,     ,     
  278,19891108,     ,     
  278,19891109,     ,     
  278,19891110,     ,     
  278,19891111,     ,     
  278,19891114,     ,     
  278,19891117,     ,     
  278,19891118,     ,     
  278,19891119,     ,     
  278,19891120,     ,     
  278,19891122,     ,     
  278,19891123,     ,     
  278,19891124,     ,     
  278,19891127,     ,     
  278,19891128,     ,     
  278,19891129,     ,     
  278,19891130,     ,     
  278,19891204,     ,     
  278,19891205,     ,     
  278,19891206,     ,     
  278,19891207,     ,     
  278,19891208,     ,     
  278,19891209,     ,     
  278,19891210,     ,     
  278,19891212,     ,     
  278,19891214,     ,     
  278,19891215,     ,     
  278,19891216,     ,     
  278,19891217,     ,     
  278,19891219,     ,     
  278,19891220,     ,     
  278,19891221,     ,     
  278,19891222,     ,     
  278,19891223,     ,     
  278,19891224,     ,     
  278,19891225,     ,     
  278,19891226,     ,     
  278,19891227,     ,     
  278,19891228,     ,     
