# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 280         6.585       53.125      5.20        Groningen Airport Eelde
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# EV24      : Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)
# STN,YYYYMMDD,   RH, EV24
  280,19570101,    0,     
  280,19570102,   10,     
  280,19570103,   54,     
  280,19570104,   31,     
  280,19570105,   56,     
  280,19570106,    7,     
  280,19570107,    0,     
  280,19570108,    0,     
  280,19570109,    7,     
  280,19570110,    2,     
  280,19570111,    6,     
  280,19570112,   63,     
  280,19570113,   64,     
  280,19570114,    1,     
  280,19570115,    4,     
  280,19570116,    0,     
  280,19570117,    2,     
  280,19570118,    3,     
  280,19570119,    4,     
  280,19570120,    0,     
  280,19570121,    4,     
  280,19570122,    0,     
  280,19570123,    0,     
  280,19570124,    0,     
  280,19570125,    0,     
  280,19570126,   39,     
  280,19570127,   33,     
  280,19570128,    0,     
  280,19570129,    0,     
  280,19570130,   22,     
  280,19570131,  100,     
  280,19570201,   90,     
  280,19570202,    1,     
  280,19570203,   11,     
  280,19570204,    0,     
  280,19570205,   10,     
  280,19570206,   11,     
  280,19570207,   11,     
  280,19570208,   67,     
  280,19570209,   13,     
  280,19570210,   53,     
  280,19570211,   36,     
  280,19570212,   84,     
  280,19570213,   87,     
  280,19570214,   21,     
  280,19570215,   12,     
  280,19570216,    4,     
  280,19570217,   10,     
  280,19570218,    2,     
  280,19570219,   12,     
  280,19570220,    9,     
  280,19570221,   15,     
  280,19570222,    0,     
  280,19570223,    1,     
  280,19570224,    4,     
