# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 310         3.596       51.442      8.00        Vlissingen  
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# EV24      : Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)
# STN,YYYYMMDD,   RH, EV24
  310,19570101,   30,     
  310,19570102,    2,     
  310,19570103,   17,     
  310,19570104,    8,     
  310,19570105,    1,     
  310,19570106,   56,     
  310,19570107,    1,     
  310,19570108,    0,     
  310,19570109,    7,     
  310,19570110,   13,     
  310,19570111,   13,     
  310,19570112,   44,     
  310,19570113,   77,     
  310,19570114,    4,     
  310,19570115,    0,     
  310,19570116,    0,     
  310,19570117,    3,     
  310,19570118,    4,     
  310,19570119,    0,     
  310,19570120,    2,     
  310,19570121,    0,     
  310,19570122,    0,     
  310,19570123,    0,     
  310,19570124,    0,     
  310,19570125,    4,     
  310,19570126,   25,     
  310,19570127,   42,     
  310,19570128,    1,     
  310,19570129,   16,     
  310,19570130,    2,     
  310,19570131,   32,     
  310,19570201,   14,     
  310,19570202,   30,     
  310,19570203,    3,     
  310,19570204,    0,     
  310,19570205,    1,     
  310,19570206,    6,     
  310,19570207,   26,     
  310,19570208,   75,     
  310,19570209,   10,     
  310,19570210,    1,     
  310,19570211,   92,     
  310,19570212,   79,     
  310,19570213,  161,     
  310,19570214,   34,     
  310,19570215,   13,     
  310,19570216,   87,     
  310,19570217,   54,     
  310,19570218,    4,     
  310,19570219,   35,     
  310,19570220,  110,     
  310,19570221,    1,     
  310,19570222,    4,     
  310,19570223,   90,     
  310,19570224,   54,     
  310,19570225,   45,     
  310,19570226,    2,     
  310,19570227,    1,     
  310,19570228,    2,     
  310,19570301,    0,     
  310,19570302,    0,     
  310,19570303,    0,     
  310,19570304,    0,     
  310,19570305,    2,     
  310,19570306,   22,     
  310,19570307,   56,     
  310,19570308,   41,     
  310,19570309,    3,     
  310,19570310,    0,     
  310,19570311,    0,     
  310,19570312,    0,     
  310,19570313,    0,     
  310,19570314,    0,     
  310,19570315,    4,     
  310,19570316,   71,     
  310,19570317,  170,     
  310,19570318,    0,     
  310,19570319,    8,     
  310,19570320,    1,     
  310,19570321,    0,     
  310,19570322,    0,     
  310,19570323,   30,     
  310,19570324,    3,     
  310,19570325,    1,     
  310,19570326,   11,     
  310,19570327,   68,     
  310,19570328,    1,     
  310,19570329,    1,     
  310,19570330,    2,     
  310,19570331,    0,     
  310,19570401,    0,     
  310,19570402,    0,     
  310,19570403,    1,     
  310,19570404,    1,     
  310,19570405,    0,     
  310,19570406,    7,     
  310,19570407,    0,     
  310,19570408,    0,     
  310,19570409,    0,     
  310,19570410,    0,     
  310,19570411,   14,     
  310,19570412,   15,     
  310,19570413,   23,     
  310,19570414,   12,     
  310,19570415,    0,     
  310,19570416,    0,     
  310,19570417,    0,     
  310,19570418,   17,     
  310,19570419,   12,     
  310,19570420,    1,     
  310,19570421,    0,     
  310,19570422,    0,     
  310,19570423,    3,     
  310,19570424,    1,     
  310,19570425,   42,     
  310,19570426,    0,     
  310,19570427,    0,     
  310,19570428,   36,     
  310,19570429,    1,     
  310,19570430,    0,     
  310,19570501,    0,     
  310,19570502,    1,     
  310,19570503,    0,     
  310,19570504,    1,     
  310,19570505,   63,     
  310,19570506,   44,     
  310,19570507,   24,     
  310,19570508,    2,     
  310,19570509,   15,     
  310,19570510,   18,     
  310,19570511,   34,     
  310,19570512,   27,     
  310,19570513,    0,     
  310,19570514,    0,     
  310,19570515,   50,     
  310,19570516,    2,     
  310,19570517,    0,     
  310,19570518,   51,     
  310,19570519,   19,     
  310,19570520,   19,     
