# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 319         3.861       51.226      1.70        Westdorpe   
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# EV24      : Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)
# STN,YYYYMMDD,   RH, EV24
  319,19910625,     ,   18
  319,19910626,     ,   35
  319,19910627,     ,   17
  319,19910628,     ,   27
  319,19910629,     ,   36
  319,19910630,     ,   19
  319,19910701,     ,    9
  319,19910702,     ,   17
  319,19910703,     ,   37
  319,19910704,     ,   50
  319,19910705,     ,   48
  319,19910706,     ,   45
  319,19910707,     ,   38
  319,19910708,     ,   25
  319,19910709,     ,   26
  319,19910710,     ,   45
  319,19910711,     ,   51
  319,19910712,     ,   32
  319,19910713,     ,   10
  319,19910714,     ,   28
  319,19910715,     ,   13
  319,19910716,     ,   22
  319,19910717,     ,   39
  319,19910718,     ,    8
  319,19910719,     ,   10
  319,19910720,     ,   19
  319,19910721,     ,   33
  319,19910722,     ,   37
  319,19910723,     ,   44
  319,19910724,     ,   28
  319,19910725,     ,   24
  319,19910726,     ,   33
  319,19910727,     ,   27
  319,19910728,     ,   45
  319,19910729,     ,   49
  319,19910730,     ,   38
  319,19910731,     ,   27
  319,19910801,     ,   33
  319,19910802,     ,   40
  319,19910803,     ,   36
  319,19910804,     ,   23
  319,19910805,     ,   29
  319,19910806,     ,   41
  319,19910807,     ,   33
  319,19910808,     ,   19
  319,19910809,     ,   37
  319,19910810,     ,   24
  319,19910811,     ,    9
  319,19910812,     ,   39
  319,19910813,     ,   27
  319,19910814,     ,   30
  319,19910815,     ,   36
  319,19910816,     ,   24
  319,19910817,     ,   23
  319,19910818,     ,   31
  319,19910819,     ,   34
  319,19910820,     ,   21
  319,19910821,     ,   34
  319,19910822,     ,   24
  319,19910823,     ,   33
  319,19910824,     ,   29
  319,19910825,     ,   25
  319,19910826,     ,   35
  319,19910827,     ,   28
  319,19910828,     ,   26
  319,19910829,     ,   36
  319,19910830,     ,   35
  319,19910831,     ,   36
  319,19910901,     ,   34
  319,19910902,     ,   27
  319,19910903,     ,   30
  319,19910904,     ,   31
  319,19910905,     ,   32
  319,19910906,     ,   17
  319,19910907,     ,   11
  319,19910908,     ,   24
  319,19910909,     ,   28
  319,19910910,     ,   20
  319,19910911,     ,   18
  319,19910912,     ,   28
  319,19910913,     ,   27
  319,19910914,     ,   25
  319,19910915,     ,    7
  319,19910916,     ,    9
  319,19910917,     ,   25
  319,19910918,     ,   19
  319,19910919,     ,   21
  319,19910920,     ,   24
  319,19910921,     ,   23
  319,19910922,     ,   12
  319,19910923,     ,   11
  319,19910924,     ,   14
  319,19910925,     ,    5
  319,19910926,     ,   11
  319,19910927,     ,    7
  319,19910928,     ,   10
  319,19910929,     ,   12
  319,19910930,     ,   16
  319,19911001,     ,   10
  319,19911002,     ,   18
  319,19911003,     ,   19
  319,19911004,     ,   14
  319,19911005,     ,   13
  319,19911006,     ,    9
  319,19911007,     ,   12
  319,19911008,     ,   12
  319,19911009,     ,   15
  319,19911010,     ,   15
  319,19911011,     ,   13
  319,19911012,     ,    3
  319,19911013,     ,   12
  319,19911014,     ,   11
  319,19911015,     ,    9
  319,19911016,     ,    5
  319,19911017,     ,    9
  319,19911018,     ,   10
  319,19911019,     ,    9
  319,19911020,     ,    6
  319,19911021,     ,    7
  319,19911022,     ,    6
  319,19911023,     ,    4
  319,19911024,     ,    3
  319,19911025,     ,    2
  319,19911026,     ,   10
  319,19911027,     ,    9
  319,19911028,     ,    6
  319,19911029,     ,    8
  319,19911030,     ,    5
  319,19911031,     ,    6
  319,19911101,     ,    5
  319,19911102,     ,    4
  319,19911103,     ,    2
  319,19911104,     ,    3
  319,19911105,     ,    1
  319,19911106,     ,    6
  319,19911107,     ,    1
  319,19911108,     ,    1
  319,19911109,     ,    6
  319,19911110,     ,    6
  319,19911111,     ,    1
  319,19911112,     ,    7
  319,19911113,     ,    5
  319,19911114,     ,    2
  319,19911115,     ,    3
  319,19911116,     ,    5
  319,19911117,     ,    2
  319,19911118,     ,    2
  319,19911119,     ,    1
  319,19911120,     ,    1
  319,19911121,     ,    2
  319,19911122,     ,    2
  319,19911123,     ,    1
  319,19911124,     ,    5
  319,19911125,     ,    2
  319,19911126,     ,    2
  319,19911127,     ,    4
  319,19911128,     ,    3
  319,19911129,     ,    5
  319,19911130,     ,    1
  319,19911201,     ,    2
  319,19911202,     ,    1
  319,19911203,     ,    0
  319,19911204,     ,    1
  319,19911205,     ,    4
  319,19911206,     ,    5
  319,19911207,     ,    1
  319,19911208,     ,    2
  319,19911209,     ,    4
  319,19911210,     ,    3
  319,19911211,     ,    2
  319,19911212,     ,    3
  319,19911213,     ,    4
  319,19911214,     ,    4
  319,19911215,     ,    3
  319,19911216,     ,    0
  319,19911217,     ,    1
  319,19911218,     ,    3
  319,19911219,     ,    0
  319,19911220,     ,    1
  319,19911221,     ,    1
  319,19911222,     ,    1
  319,19911223,     ,    1
  319,19911224,     ,    3
  319,19911225,     ,    3
  319,19911226,     ,    2
  319,19911227,     ,    2
  319,19911228,     ,    5
  319,19911229,     ,    1
  319,19911230,     ,    0
  319,19911231,     ,    0
  319,19920101,     ,    1
  319,19920102,     ,    1
  319,19920103,     ,    2
  319,19920104,     ,    1
  319,19920105,     ,    1
  319,19920106,     ,    3
  319,19920107,     ,    1
  319,19920108,     ,    4
  319,19920109,     ,    2
  319,19920110,     ,    1
  319,19920111,     ,    1
  319,19920112,     ,    1
  319,19920113,     ,    2
  319,19920114,     ,    1
  319,19920115,     ,    1
  319,19920116,     ,    1
  319,19920117,     ,    2
  319,19920118,     ,    3
  319,19920119,     ,    1
  319,19920120,     ,    1
  319,19920121,     ,    5
  319,19920122,     ,    4
  319,19920123,     ,    4
  319,19920124,     ,    4
  319,19920125,     ,    2
  319,19920126,     ,    5
  319,19920127,     ,    3
  319,19920128,     ,    1
  319,19920129,     ,    5
  319,19920130,     ,    1
  319,19920131,     ,    1
  319,19920201,     ,    2
  319,19920202,     ,    1
  319,19920203,     ,    7
  319,19920204,     ,    1
  319,19920205,     ,    2
  319,19920206,     ,    2
  319,19920207,     ,    8
  319,19920208,     ,    8
  319,19920209,     ,    3
  319,19920210,     ,    6
  319,19920211,     ,    1
  319,19920212,     ,    3
  319,19920213,     ,    6
  319,19920214,     ,    7
  319,19920215,     ,    6
  319,19920216,     ,    5
  319,19920217,     ,    8
  319,19920218,     ,    8
  319,19920219,     ,    6
  319,19920220,     ,    5
  319,19920221,     ,    9
  319,19920222,     ,    7
  319,19920223,     ,    3
  319,19920224,     ,    3
  319,19920225,     ,    7
  319,19920226,     ,    8
  319,19920227,     ,   10
  319,19920228,     ,   12
  319,19920229,     ,   15
  319,19920301,     ,   15
  319,19920302,     ,   13
  319,19920303,     ,    4
  319,19920304,     ,   12
  319,19920305,     ,   11
  319,19920306,     ,   15
  319,19920307,     ,   14
  319,19920308,     ,    3
  319,19920309,     ,   11
  319,19920310,     ,   13
  319,19920311,     ,   11
  319,19920312,     ,    1
  319,19920313,     ,    7
  319,19920314,     ,   10
  319,19920315,     ,    4
  319,19920316,     ,   15
  319,19920317,     ,    4
  319,19920318,     ,    7
  319,19920319,     ,   16
  319,19920320,     ,    3
  319,19920321,     ,   14
  319,19920322,     ,    7
  319,19920323,     ,    6
  319,19920324,     ,   13
  319,19920325,     ,    7
  319,19920326,     ,    6
  319,19920327,     ,    8
  319,19920328,     ,   14
  319,19920329,     ,    9
  319,19920330,     ,   13
  319,19920331,     ,    7
  319,19920401,     ,   21
  319,19920402,     ,   11
  319,19920403,     ,   16
  319,19920404,     ,   14
  319,19920405,     ,   16
  319,19920406,     ,   14
  319,19920407,     ,   15
  319,19920408,     ,   25
  319,19920409,     ,   28
  319,19920410,     ,   27
  319,19920411,     ,   26
  319,19920412,     ,   12
  319,19920413,     ,   19
  319,19920414,     ,   20
  319,19920415,     ,    6
  319,19920416,     ,   19
  319,19920417,     ,    8
  319,19920418,     ,   14
  319,19920419,     ,   21
  319,19920420,     ,   29
  319,19920421,     ,   29
  319,19920422,     ,   20
  319,19920423,     ,   21
  319,19920424,     ,   17
  319,19920425,     ,   23
  319,19920426,     ,    7
  319,19920427,     ,   26
  319,19920428,     ,   10
  319,19920429,     ,   29
  319,19920430,     ,   25
  319,19920501,     ,   16
  319,19920502,     ,   21
  319,19920503,     ,   37
  319,19920504,     ,   36
  319,19920505,     ,   35
  319,19920506,     ,   38
  319,19920507,     ,   31
  319,19920508,     ,   24
  319,19920509,     ,    9
  319,19920510,     ,   21
  319,19920511,     ,   22
  319,19920512,     ,   12
  319,19920513,     ,   44
  319,19920514,     ,   48
  319,19920515,     ,   45
  319,19920516,     ,   44
  319,19920517,     ,   38
  319,19920518,     ,   46
  319,19920519,     ,   51
  319,19920520,     ,   47
  319,19920521,     ,   42
  319,19920522,     ,   43
  319,19920523,     ,   40
  319,19920524,     ,   44
  319,19920525,     ,   34
  319,19920526,     ,   45
  319,19920527,     ,   44
  319,19920528,     ,   38
  319,19920529,     ,   13
  319,19920530,     ,   28
  319,19920531,     ,   37
  319,19920601,     ,   30
  319,19920602,     ,    8
  319,19920603,     ,   39
  319,19920604,     ,   13
  319,19920605,     ,   15
  319,19920606,     ,   10
  319,19920607,     ,   26
  319,19920608,     ,   30
  319,19920609,     ,   35
  319,19920610,     ,   37
  319,19920611,     ,   42
  319,19920612,     ,   42
  319,19920613,     ,   43
  319,19920614,     ,   49
  319,19920615,     ,   50
  319,19920616,     ,   38
  319,19920617,     ,   46
  319,19920618,     ,   15
  319,19920619,     ,   15
  319,19920620,     ,   35
  319,19920621,     ,    4
  319,19920622,     ,   26
  319,19920623,     ,   42
  319,19920624,     ,   34
  319,19920625,     ,   41
  319,19920626,     ,   48
  319,19920627,     ,   46
  319,19920628,     ,   50
  319,19920629,     ,   51
  319,19920630,     ,   34
  319,19920701,     ,   19
  319,19920702,     ,   14
  319,19920703,     ,   20
