# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 377         5.763       51.198      30.00       Ell         
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# EV24      : Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)
# STN,YYYYMMDD,   RH, EV24
  377,19990710,     ,     
  377,19990711,     ,     
  377,19990712,     ,     
  377,19990713,     ,     
  377,19990714,     ,     
  377,19990715,    0,   31
  377,19990716,    0,   36
  377,19990717,    0,   50
  377,19990718,    0,   51
  377,19990719,   -1,   40
  377,19990720,   -1,   34
  377,19990721,   -1,   25
  377,19990722,   28,   20
  377,19990723,    0,   25
  377,19990724,    0,   38
  377,19990725,    0,   46
  377,19990726,    0,   44
  377,19990727,    0,   48
  377,19990728,    0,   50
  377,19990729,    0,   49
  377,19990730,    0,   48
  377,19990731,    0,   46
  377,19990801,    0,   46
  377,19990802,    0,   47
  377,19990803,    0,   28
  377,19990804,   -1,   38
  377,19990805,   15,   37
  377,19990806,    0,   43
  377,19990807,  123,   22
  377,19990808,   39,   22
  377,19990809,    8,   23
  377,19990810,  289,   17
  377,19990811,    1,   21
  377,19990812,   -1,   24
  377,19990813,   -1,   34
  377,19990814,  137,   14
  377,19990815,    1,   28
  377,19990816,   33,   23
  377,19990817,    5,   19
  377,19990818,   72,   22
  377,19990819,   16,   23
  377,19990820,   51,   16
  377,19990821,    0,   24
  377,19990822,    0,   28
  377,19990823,    0,   37
  377,19990824,   -1,   27
  377,19990825,   14,   29
  377,19990826,   -1,   29
  377,19990827,    0,   20
  377,19990828,    0,   31
  377,19990829,    0,   30
  377,19990830,    0,   30
  377,19990831,    0,   15
  377,19990901,   -1,   11
  377,19990902,    0,   32
  377,19990903,    0,   34
  377,19990904,    0,   24
  377,19990905,    0,   31
  377,19990906,   -1,   22
  377,19990907,   -1,   28
  377,19990908,    0,   25
  377,19990909,    0,   29
  377,19990910,    0,   27
  377,19990911,    0,   33
  377,19990912,    0,   31
  377,19990913,    0,   26
  377,19990914,    0,   17
  377,19990915,   53,    9
  377,19990916,   -1,   27
  377,19990917,   36,    8
  377,19990918,    0,   25
  377,19990919,    1,   17
  377,19990920,   17,   12
  377,19990921,   -1,   18
  377,19990922,   -1,   11
  377,19990923,   38,   24
  377,19990924,   -1,   20
  377,19990925,    0,   20
  377,19990926,   45,   15
  377,19990927,    1,   14
  377,19990928,   -1,   13
  377,19990929,   74,    7
  377,19990930,  137,    5
  377,19991001,   46,   12
  377,19991002,  113,    6
  377,19991003,    6,   14
  377,19991004,   20,    6
  377,19991005,   20,   13
  377,19991006,    0,   13
  377,19991007,   -1,   15
  377,19991008,   38,    4
  377,19991009,    5,    5
  377,19991010,    3,    4
  377,19991011,   13,    5
  377,19991012,    0,   15
  377,19991013,    0,   15
  377,19991014,    0,    6
  377,19991015,    0,    9
  377,19991016,    0,   16
  377,19991017,    0,   15
  377,19991018,    0,   14
  377,19991019,    0,   13
  377,19991020,    0,   12
  377,19991021,   -1,    4
  377,19991022,   68,    4
  377,19991023,    2,   13
  377,19991024,   21,    5
  377,19991025,    1,    8
  377,19991026,   -1,    6
  377,19991027,    2,   10
  377,19991028,    3,    4
  377,19991029,    0,   10
  377,19991030,   19,   11
  377,19991031,    0,   10
  377,19991101,   33,    9
  377,19991102,   35,    2
  377,19991103,    0,   10
  377,19991104,    0,   10
  377,19991105,    4,    6
  377,19991106,    2,    4
  377,19991107,   34,    2
  377,19991108,   36,    2
  377,19991109,   42,    2
  377,19991110,   -1,    8
  377,19991111,    0,    4
  377,19991112,    0,    6
  377,19991113,    4,    3
  377,19991114,    6,    3
  377,19991115,    0,    7
  377,19991116,    6,    5
  377,19991117,   14,    3
  377,19991118,   30,    4
  377,19991119,   10,    2
  377,19991120,    7,    2
  377,19991121,    0,    2
  377,19991122,   18,    1
  377,19991123,    0,    3
  377,19991124,    0,    1
  377,19991125,   19,    2
  377,19991126,    0,    6
  377,19991127,    6,    2
  377,19991128,    0,    4
  377,19991129,    0,    3
  377,19991130,   -1,    3
  377,19991201,   22,    1
  377,19991202,   -1,    4
  377,19991203,   47,    1
  377,19991204,   42,    2
  377,19991205,    6,    3
  377,19991206,   11,    1
  377,19991207,   30,    1
  377,19991208,   -1,    3
  377,19991209,   34,    4
  377,19991210,   10,    2
  377,19991211,  122,    1
  377,19991212,  207,    1
  377,19991213,   92,    4
  377,19991214,    2,    3
  377,19991215,   33,    3
  377,19991216,    4,    2
  377,19991217,   54,    1
  377,19991218,   -1,    3
  377,19991219,   -1,    3
  377,19991220,    1,    4
  377,19991221,    0,    2
  377,19991222,    3,    3
  377,19991223,   17,    3
  377,19991224,  126,    1
  377,19991225,  117,    3
  377,19991226,  237,    2
  377,19991227,   79,    3
  377,19991228,   12,    2
  377,19991229,    0,    2
  377,19991230,   23,    2
  377,19991231,    0,    1
  377,20000101,   11,    1
  377,20000102,   -1,    2
  377,20000103,   -1,    2
  377,20000104,  102,    1
  377,20000105,    0,    5
  377,20000106,   22,    4
  377,20000107,    0,    3
  377,20000108,    1,    2
  377,20000109,    0,    4
  377,20000110,    0,    2
  377,20000111,    0,    5
  377,20000112,    0,    5
  377,20000113,   -1,    2
  377,20000114,   -1,    1
  377,20000115,    0,    2
  377,20000116,    9,    2
  377,20000117,    6,    2
  377,20000118,   12,    2
  377,20000119,    0,    2
  377,20000120,    6,    2
  377,20000121,   16,    2
  377,20000122,   61,    2
  377,20000123,    6,    1
  377,20000124,    0,    7
  377,20000125,    0,    6
  377,20000126,    0,    3
  377,20000127,    0,    7
  377,20000128,    1,    1
  377,20000129,  116,    1
  377,20000130,   14,    3
  377,20000131,    0,    1
  377,20000201,   -1,    3
  377,20000202,   12,    4
  377,20000203,    0,    5
  377,20000204,    5,    4
  377,20000205,    0,    9
  377,20000206,    4,    4
  377,20000207,   43,    6
  377,20000208,   79,    2
  377,20000209,    2,    3
  377,20000210,   64,    5
  377,20000211,    0,   10
  377,20000212,   58,    7
  377,20000213,   -1,    9
  377,20000214,   18,   10
  377,20000215,   32,    5
  377,20000216,   60,    5
  377,20000217,    2,    8
  377,20000218,   88,    2
  377,20000219,   54,    6
  377,20000220,    5,    9
  377,20000221,   -1,    8
  377,20000222,    0,    7
  377,20000223,   -1,   12
  377,20000224,   71,    3
  377,20000225,  101,   12
  377,20000226,    0,   11
  377,20000227,    0,   14
  377,20000228,   80,    2
  377,20000229,   36,    7
  377,20000301,   42,    7
  377,20000302,   14,    9
  377,20000303,  145,    4
  377,20000304,   53,   11
  377,20000305,    6,    9
  377,20000306,    0,   14
  377,20000307,   31,    7
  377,20000308,   54,    2
  377,20000309,   12,    4
  377,20000310,    1,    5
  377,20000311,    8,    7
  377,20000312,    0,    9
  377,20000313,   -1,    8
  377,20000314,   18,    4
  377,20000315,    5,   12
  377,20000316,    1,    5
  377,20000317,   -1,    6
  377,20000318,    5,    7
  377,20000319,    1,    6
  377,20000320,    0,   12
  377,20000321,    0,   19
  377,20000322,    0,   21
  377,20000323,    0,   19
  377,20000324,   29,    6
  377,20000325,   19,   12
  377,20000326,   22,   14
  377,20000327,    1,   11
  377,20000328,   17,    4
  377,20000329,    7,    3
  377,20000330,    2,    3
  377,20000331,   -1,    6
  377,20000401,   20,    9
  377,20000402,   -1,   22
  377,20000403,   -1,   13
  377,20000404,   52,   21
  377,20000405,    1,    9
  377,20000406,    0,   26
  377,20000407,    0,   27
  377,20000408,    0,   21
  377,20000409,    0,   23
  377,20000410,    0,   28
  377,20000411,   20,   23
  377,20000412,   13,   21
  377,20000413,   23,   13
  377,20000414,   11,   26
  377,20000415,   26,   14
  377,20000416,   -1,   30
  377,20000417,   53,   19
  377,20000418,    0,   19
  377,20000419,    0,   24
  377,20000420,    0,   28
  377,20000421,    3,   31
  377,20000422,  132,   17
  377,20000423,   65,    9
  377,20000424,   -1,   25
  377,20000425,    0,   39
  377,20000426,   -1,   31
  377,20000427,    0,   24
  377,20000428,   -1,   34
  377,20000429,   33,    7
  377,20000430,   -1,   14
  377,20000501,    0,   21
  377,20000502,    1,    7
  377,20000503,   18,    6
  377,20000504,   15,   29
  377,20000505,    0,   43
  377,20000506,    0,   43
  377,20000507,   -1,   29
  377,20000508,   38,   30
  377,20000509,    0,   45
  377,20000510,   11,   32
  377,20000511,    0,   38
  377,20000512,    0,   35
  377,20000513,    0,   44
  377,20000514,    0,   48
  377,20000515,    0,   50
  377,20000516,   18,   46
  377,20000517,   41,   31
  377,20000518,   37,   19
  377,20000519,   56,   17
  377,20000520,   -1,   31
  377,20000521,   86,   11
  377,20000522,    4,   13
  377,20000523,   -1,   26
  377,20000524,  122,   11
  377,20000525,   33,   24
  377,20000526,    1,   36
  377,20000527,    3,   29
  377,20000528,   72,   24
  377,20000529,   22,   32
  377,20000530,    9,   17
  377,20000531,    0,   40
  377,20000601,   -1,   36
  377,20000602,    0,   49
  377,20000603,   84,   41
  377,20000604,    0,   30
  377,20000605,  180,    7
  377,20000606,   14,   27
  377,20000607,   -1,   33
  377,20000608,    0,   51
  377,20000609,    0,   54
  377,20000610,    0,   27
  377,20000611,    0,   44
  377,20000612,    0,   47
  377,20000613,    0,   53
  377,20000614,   -1,   22
  377,20000615,   40,   23
  377,20000616,    0,   43
  377,20000617,    0,   50
  377,20000618,    0,   53
  377,20000619,    0,   58
  377,20000620,    0,   58
  377,20000621,   32,   31
  377,20000622,    8,   32
  377,20000623,   -1,   21
  377,20000624,   58,   16
  377,20000625,   33,   22
  377,20000626,    0,   28
  377,20000627,    0,   38
  377,20000628,   -1,   33
  377,20000629,   -1,   33
  377,20000630,   -1,   28
  377,20000701,    1,   28
  377,20000702,  394,   34
  377,20000703,   20,   21
  377,20000704,   77,   24
  377,20000705,   36,   30
  377,20000706,    0,   25
  377,20000707,   23,    7
  377,20000708,    7,   18
  377,20000709,   53,   10
  377,20000710,   12,   29
  377,20000711,   78,   15
  377,20000712,   -1,   19
  377,20000713,   26,   13
  377,20000714,   61,   24
  377,20000715,  123,   27
  377,20000716,   12,   20
  377,20000717,    0,   18
  377,20000718,   -1,   37
  377,20000719,    5,   21
  377,20000720,    0,   39
  377,20000721,    0,   39
  377,20000722,    0,   15
  377,20000723,    0,   32
  377,20000724,  101,   11
  377,20000725,    9,    8
  377,20000726,   -1,    8
  377,20000727,  309,   18
  377,20000728,    2,   29
  377,20000729,  122,   16
  377,20000730,    1,   18
  377,20000731,    0,   35
  377,20000801,    2,   47
  377,20000802,   -1,   39
  377,20000803,   56,   38
  377,20000804,   -1,   30
  377,20000805,    0,   28
  377,20000806,   -1,   32
  377,20000807,   -1,   21
  377,20000808,    3,   30
  377,20000809,    0,   37
  377,20000810,   -1,   22
  377,20000811,    0,   31
  377,20000812,    0,   40
  377,20000813,    0,   39
  377,20000814,    0,   35
  377,20000815,   -1,   20
  377,20000816,   73,   26
  377,20000817,   16,   28
  377,20000818,   11,   32
  377,20000819,   15,   23
  377,20000820,   73,   25
  377,20000821,   56,   28
  377,20000822,    0,   33
  377,20000823,    0,   34
  377,20000824,    0,   35
  377,20000825,    0,   37
  377,20000826,    0,   37
  377,20000827,   22,   14
  377,20000828,    0,   31
  377,20000829,    0,   29
  377,20000830,    0,   30
  377,20000831,    0,   30
  377,20000901,   38,   12
  377,20000902,  156,   10
  377,20000903,   -1,   20
  377,20000904,    6,   15
  377,20000905,   -1,   20
  377,20000906,   77,    6
  377,20000907,   -1,   22
  377,20000908,    0,   20
  377,20000909,    6,   24
  377,20000910,    0,   25
  377,20000911,    0,   31
  377,20000912,   -1,   20
  377,20000913,    0,   13
  377,20000914,    0,   15
  377,20000915,   38,   17
  377,20000916,  111,    4
  377,20000917,   74,    4
  377,20000918,    0,   21
  377,20000919,    9,   27
  377,20000920,   53,    4
  377,20000921,   -1,   19
  377,20000922,    0,   18
  377,20000923,    0,   25
  377,20000924,    0,   25
  377,20000925,   -1,   22
  377,20000926,    3,   19
  377,20000927,    0,   15
  377,20000928,   36,    5
  377,20000929,    0,   14
  377,20000930,   51,   10
  377,20001001,  227,    4
  377,20001002,   -1,   12
  377,20001003,    0,   18
  377,20001004,   -1,    6
  377,20001005,   10,    8
  377,20001006,    4,    9
  377,20001007,    0,   14
  377,20001008,   35,    3
  377,20001009,   16,   15
  377,20001010,   64,   10
  377,20001011,  101,   11
  377,20001012,    0,   12
  377,20001013,   -1,   11
  377,20001014,    0,    9
  377,20001015,    3,    3
  377,20001016,   51,    6
  377,20001017,    2,   14
  377,20001018,    7,    5
  377,20001019,  100,    7
  377,20001020,    0,   12
  377,20001021,    0,    7
  377,20001022,    0,   14
