# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 11          West Terschelling
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
   11,19000101,    4,     
   11,19000102,    0,     
   11,19000103,   20,     
   11,19000104,   76,     
   11,19000105,   15,     
   11,19000106,   26,     
   11,19000107,    0,     
   11,19000108,    0,     
   11,19000109,    3,     
   11,19000110,   57,     
   11,19000111,   53,     
   11,19000112,    0,     
   11,19000113,    0,     
   11,19000114,    0,     
   11,19000115,    0,     
   11,19000116,    0,     
   11,19000117,    0,     
   11,19000118,   28,     
   11,19000119,   22,     
   11,19000120,    6,     
   11,19000121,  125,     
   11,19000122,    0,     
   11,19000123,   88,     
   11,19000124,    0,     
   11,19000125,    0,     
   11,19000126,   87,     
   11,19000127,    0,     
   11,19000128,   45,     
   11,19000129,    1,     
   11,19000130,    0,     
   11,19000131,   18,     
   11,19000201,   13,     
   11,19000202,    0,     
   11,19000203,    0,     
   11,19000204,    0,     
   11,19000205,    8,     
   11,19000206,    0,     
   11,19000207,    0,     
   11,19000208,    0,     
   11,19000209,    0,     
   11,19000210,    0,     
   11,19000211,    0,     
   11,19000212,    0,     
   11,19000213,   47,     
   11,19000214,    0,     
   11,19000215,    0,     
   11,19000216,    0,     
   11,19000217,  228,     
   11,19000218,   79,     
   11,19000219,  150,     
   11,19000220,   23,     
   11,19000221,   73,     
   11,19000222,   19,     
   11,19000223,    9,     
   11,19000224,   19,     
   11,19000225,  119,     
   11,19000226,    0,     
   11,19000227,    8,     
   11,19000228,   58,     
   11,19000301,    0,     
