# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 139         Groningen   
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  139,19000101,    4,     
  139,19000102,    0,     
  139,19000103,    7,     
  139,19000104,   71,     
  139,19000105,   43,     
  139,19000106,    4,     
  139,19000107,    0,     
  139,19000108,    0,     
  139,19000109,    0,     
  139,19000110,    5,     
  139,19000111,   52,     
  139,19000112,   43,     
  139,19000113,    0,     
  139,19000114,    0,     
  139,19000115,    0,     
  139,19000116,    0,     
  139,19000117,   42,     
  139,19000118,    4,     
  139,19000119,   21,     
  139,19000120,   16,     
  139,19000121,  143,     
  139,19000122,    0,     
  139,19000123,   96,     
  139,19000124,    0,     
  139,19000125,    2,     
  139,19000126,   60,     
  139,19000127,   30,     
  139,19000128,   34,     
  139,19000129,    4,     
  139,19000130,   19,     
  139,19000131,    0,     
  139,19000201,   16,     
  139,19000202,    2,     
  139,19000203,    0,     
  139,19000204,    0,     
  139,19000205,    0,     
  139,19000206,    0,     
  139,19000207,    0,     
  139,19000208,    0,     
  139,19000209,    4,     
  139,19000210,    0,     
  139,19000211,    0,     
  139,19000212,    0,     
  139,19000213,   31,     
  139,19000214,    0,     
  139,19000215,   23,     
  139,19000216,   19,     
  139,19000217,  118,     
  139,19000218,   83,     
  139,19000219,   90,     
  139,19000220,   25,     
  139,19000221,   81,     
  139,19000222,   18,     
  139,19000223,   20,     
  139,19000224,   17,     
  139,19000225,   82,     
  139,19000226,    1,     
  139,19000227,    1,     
  139,19000228,   14,     
  139,19000301,    6,     
  139,19000302,    0,     
  139,19000303,    2,     
  139,19000304,    0,     
  139,19000305,    0,     
  139,19000306,    0,     
  139,19000307,    0,     
  139,19000308,    8,     
  139,19000309,    0,     
  139,19000310,    0,     
  139,19000311,    0,     
  139,19000312,    0,     
  139,19000313,    1,     
  139,19000314,    2,     
  139,19000315,   11,     
  139,19000316,    7,     
  139,19000317,   17,     
  139,19000318,   13,     
  139,19000319,    1,     
  139,19000320,    0,     
  139,19000321,    0,     
  139,19000322,    0,     
  139,19000323,    0,     
  139,19000324,    0,     
  139,19000325,    0,     
  139,19000326,    0,     
  139,19000327,   15,     
  139,19000328,   47,     
  139,19000329,    8,     
  139,19000330,    1,     
  139,19000331,    0,     
  139,19000401,    0,     
  139,19000402,    0,     
  139,19000403,    1,     
  139,19000404,    0,     
  139,19000405,    7,     
  139,19000406,    7,     
  139,19000407,   49,     
  139,19000408,    0,     
  139,19000409,    1,     
  139,19000410,   21,     
  139,19000411,    0,     
  139,19000412,   26,     
  139,19000413,   41,     
  139,19000414,   98,     
  139,19000415,   23,     
  139,19000416,    4,     
  139,19000417,   13,     
  139,19000418,   17,     
  139,19000419,    0,     
  139,19000420,    0,     
  139,19000421,    0,     
  139,19000422,    0,     
  139,19000423,    0,     
  139,19000424,    0,     
  139,19000425,    0,     
  139,19000426,    3,     
  139,19000427,    4,     
  139,19000428,   14,     
  139,19000429,    3,     
  139,19000430,    0,     
  139,19000501,    9,     
