# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 161         Eelde       
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  161,19490101,     ,     
  161,19490102,     ,     
  161,19490103,     ,     
  161,19490104,     ,     
  161,19490105,     ,     
  161,19490106,     ,     
  161,19490107,     ,     
  161,19490108,     ,     
  161,19490109,     ,     
  161,19490110,     ,     
  161,19490111,     ,     
  161,19490112,     ,     
  161,19490113,     ,     
  161,19490114,     ,     
  161,19490115,     ,     
  161,19490116,     ,     
  161,19490117,     ,     
  161,19490118,     ,     
  161,19490119,     ,     
  161,19490120,     ,     
  161,19490121,     ,     
  161,19490122,     ,     
  161,19490123,     ,     
  161,19490124,     ,     
  161,19490125,     ,     
  161,19490126,     ,     
  161,19490127,     ,     
  161,19490128,     ,     
  161,19490129,     ,     
  161,19490130,     ,     
  161,19490131,     ,     
  161,19490201,    1,     
  161,19490202,    0,     
  161,19490203,    0,     
  161,19490204,    0,     
  161,19490205,    0,     
  161,19490206,    3,     
  161,19490207,    0,     
  161,19490208,    1,     
  161,19490209,   27,     
  161,19490210,   85,     
  161,19490211,    5,     
  161,19490212,   14,     
  161,19490213,    0,     
  161,19490214,    5,     
  161,19490215,    6,     
  161,19490216,    5,     
  161,19490217,    1,     
  161,19490218,    1,     
  161,19490219,    0,     
  161,19490220,    2,     
  161,19490221,    2,     
  161,19490222,   37,     
  161,19490223,    0,     
  161,19490224,    4,     
  161,19490225,    0,     
  161,19490226,    0,     
  161,19490227,    9,     
  161,19490228,   27,     
  161,19490301,  140,     
  161,19490302,   12,     
  161,19490303,   14,     
  161,19490304,    9,     
  161,19490305,    0,     
  161,19490306,    0,     
  161,19490307,    8,     
  161,19490308,    0,     
