# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 222         Hoorn Nh    
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  222,19000101,    0,     
  222,19000102,   25,     
  222,19000103,   13,     
  222,19000104,   26,     
  222,19000105,   41,     
  222,19000106,    0,     
  222,19000107,    0,     
  222,19000108,    0,     
  222,19000109,   12,     
  222,19000110,   24,     
  222,19000111,   26,     
  222,19000112,   23,     
  222,19000113,    0,     
  222,19000114,    0,     
  222,19000115,    0,     
  222,19000116,    0,     
  222,19000117,  126,     
  222,19000118,   13,     
  222,19000119,   25,     
  222,19000120,   21,     
  222,19000121,    0,     
  222,19000122,    0,     
  222,19000123,   25,     
  222,19000124,   85,     
  222,19000125,   23,     
  222,19000126,   12,     
  222,19000127,    0,     
  222,19000128,    0,     
  222,19000129,    1,     
  222,19000130,    2,     
  222,19000131,    5,     
  222,19000201,    0,     
  222,19000202,    0,     
  222,19000203,    0,     
  222,19000204,    0,     
  222,19000205,   17,     
  222,19000206,   21,     
  222,19000207,    0,     
  222,19000208,   20,     
  222,19000209,   22,     
  222,19000210,    0,     
  222,19000211,    0,     
  222,19000212,    0,     
  222,19000213,   15,     
  222,19000214,    0,     
  222,19000215,   35,     
  222,19000216,   78,     
  222,19000217,  235,     
  222,19000218,   84,     
  222,19000219,   37,     
  222,19000220,  123,     
  222,19000221,   51,     
  222,19000222,   13,     
  222,19000223,    0,     
  222,19000224,    0,     
  222,19000225,    0,     
  222,19000226,    0,     
  222,19000227,    0,     
  222,19000228,    0,     
  222,19000301,    4,     
  222,19000302,   12,     
  222,19000303,    3,     
  222,19000304,    0,     
  222,19000305,    0,     
  222,19000306,    0,     
  222,19000307,    0,     
  222,19000308,    0,     
  222,19000309,    0,     
  222,19000310,    0,     
  222,19000311,    0,     
  222,19000312,    0,     
  222,19000313,    0,     
  222,19000314,    0,     
  222,19000315,    2,     
  222,19000316,   14,     
  222,19000317,   37,     
  222,19000318,   35,     
  222,19000319,   11,     
  222,19000320,    0,     
  222,19000321,    0,     
  222,19000322,    0,     
  222,19000323,    0,     
  222,19000324,    0,     
  222,19000325,    0,     
  222,19000326,    0,     
  222,19000327,   17,     
  222,19000328,   23,     
  222,19000329,   18,     
  222,19000330,   16,     
  222,19000331,    0,     
  222,19000401,    0,     
  222,19000402,    0,     
  222,19000403,    0,     
  222,19000404,    0,     
  222,19000405,    0,     
  222,19000406,   15,     
  222,19000407,   21,     
  222,19000408,   24,     
  222,19000409,   12,     
  222,19000410,    0,     
  222,19000411,    0,     
  222,19000412,    0,     
  222,19000413,    0,     
  222,19000414,    0,     
  222,19000415,    0,     
  222,19000416,    0,     
  222,19000417,    0,     
  222,19000418,    0,     
  222,19000419,    0,     
  222,19000420,    0,     
  222,19000421,    0,     
  222,19000422,    0,     
  222,19000423,    0,     
  222,19000424,    0,     
  222,19000425,    0,     
  222,19000426,    0,     
  222,19000427,    0,     
  222,19000428,    0,     
  222,19000429,    0,     
  222,19000430,    7,     
  222,19000501,    1,     
  222,19000502,    0,     
  222,19000503,    0,     
  222,19000504,    0,     
  222,19000505,    0,     
  222,19000506,    0,     
  222,19000507,    0,     
  222,19000508,   41,     
  222,19000509,   63,     
  222,19000510,   41,     
  222,19000511,    0,     
  222,19000512,    0,     
  222,19000513,    0,     
  222,19000514,    5,     
  222,19000515,    1,     
  222,19000516,    0,     
  222,19000517,    0,     
  222,19000518,    0,     
  222,19000519,    0,     
  222,19000520,    0,     
  222,19000521,    0,     
  222,19000522,    0,     
  222,19000523,    0,     
  222,19000524,   68,     
  222,19000525,    0,     
  222,19000526,    5,     
  222,19000527,    0,     
  222,19000528,    0,     
  222,19000529,    1,     
  222,19000530,   11,     
  222,19000531,    8,     
  222,19000601,    0,     
  222,19000602,  115,     
  222,19000603,  110,     
  222,19000604,   25,     
  222,19000605,    0,     
  222,19000606,    0,     
  222,19000607,    0,     
  222,19000608,    3,     
  222,19000609,   10,     
  222,19000610,    4,     
  222,19000611,    0,     
  222,19000612,    0,     
  222,19000613,    0,     
  222,19000614,    0,     
  222,19000615,  110,     
  222,19000616,    3,     
  222,19000617,   16,     
  222,19000618,    0,     
  222,19000619,    9,     
  222,19000620,    0,     
  222,19000621,    0,     
  222,19000622,    0,     
  222,19000623,    8,     
  222,19000624,   80,     
  222,19000625,  181,     
  222,19000626,   45,     
  222,19000627,  402,     
  222,19000628,   51,     
  222,19000629,    0,     
  222,19000630,    0,     
  222,19000701,    0,     
  222,19000702,   24,     
  222,19000703,   13,     
  222,19000704,   23,     
  222,19000705,    5,     
  222,19000706,    0,     
  222,19000707,   21,     
  222,19000708,   34,     
  222,19000709,    8,     
  222,19000710,   32,     
  222,19000711,   56,     
  222,19000712,    0,     
  222,19000713,    0,     
  222,19000714,    0,     
  222,19000715,    0,     
  222,19000716,    0,     
  222,19000717,    0,     
  222,19000718,  234,     
  222,19000719,    0,     
  222,19000720,    0,     
  222,19000721,    0,     
  222,19000722,    2,     
  222,19000723,    1,     
  222,19000724,    2,     
  222,19000725,    0,     
  222,19000726,    0,     
  222,19000727,    0,     
  222,19000728,    0,     
  222,19000729,   15,     
  222,19000730,   13,     
  222,19000731,   31,     
  222,19000801,    3,     
  222,19000802,    8,     
  222,19000803,   20,     
  222,19000804,   39,     
  222,19000805,   58,     
  222,19000806,   27,     
  222,19000807,    5,     
