# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 328         Heerde      
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  328,19000101,    0,     
  328,19000102,    0,     
  328,19000103,    5,     
  328,19000104,   78,     
  328,19000105,   27,     
  328,19000106,    0,     
  328,19000107,    0,     
  328,19000108,    0,     
  328,19000109,    0,     
  328,19000110,   28,     
  328,19000111,   50,     
  328,19000112,   75,     
  328,19000113,    0,     
  328,19000114,    0,     
  328,19000115,    0,     
  328,19000116,    0,     
  328,19000117,   20,     
  328,19000118,    0,     
  328,19000119,   38,     
  328,19000120,   10,     
  328,19000121,  115,     
  328,19000122,    0,     
  328,19000123,   93,     
  328,19000124,    2,     
  328,19000125,    0,     
  328,19000126,   55,     
  328,19000127,    0,     
  328,19000128,   65,     
  328,19000129,   30,     
  328,19000130,   34,     
  328,19000131,    5,     
  328,19000201,    5,     
  328,19000202,    0,     
  328,19000203,    0,     
  328,19000204,    0,     
  328,19000205,    0,     
  328,19000206,    0,     
  328,19000207,    0,     
  328,19000208,    0,     
  328,19000209,    0,     
  328,19000210,    0,     
  328,19000211,    0,     
  328,19000212,    0,     
  328,19000213,   38,     
  328,19000214,    0,     
  328,19000215,    0,     
  328,19000216,   40,     
  328,19000217,  105,     
  328,19000218,   32,     
  328,19000219,  160,     
  328,19000220,   57,     
  328,19000221,   40,     
  328,19000222,   15,     
  328,19000223,   42,     
  328,19000224,   22,     
  328,19000225,   51,     
  328,19000226,   10,     
  328,19000227,    0,     
  328,19000228,  110,     
  328,19000301,    0,     
  328,19000302,    0,     
  328,19000303,    0,     
  328,19000304,    0,     
  328,19000305,    0,     
  328,19000306,    0,     
  328,19000307,    0,     
  328,19000308,    6,     
  328,19000309,    0,     
  328,19000310,    0,     
  328,19000311,    0,     
  328,19000312,    0,     
  328,19000313,    6,     
  328,19000314,    0,     
  328,19000315,    5,     
  328,19000316,   12,     
  328,19000317,   57,     
  328,19000318,    5,     
  328,19000319,   10,     
  328,19000320,    0,     
  328,19000321,    0,     
  328,19000322,    0,     
  328,19000323,    0,     
  328,19000324,    0,     
  328,19000325,    0,     
  328,19000326,    0,     
  328,19000327,   11,     
  328,19000328,   20,     
  328,19000329,    5,     
  328,19000330,  205,     
  328,19000331,    0,     
  328,19000401,    0,     
  328,19000402,    0,     
  328,19000403,    0,     
  328,19000404,    0,     
  328,19000405,   65,     
  328,19000406,   45,     
  328,19000407,   20,     
  328,19000408,   20,     
  328,19000409,   32,     
  328,19000410,    0,     
  328,19000411,   10,     
  328,19000412,    2,     
  328,19000413,   78,     
  328,19000414,   55,     
  328,19000415,   38,     
  328,19000416,    0,     
  328,19000417,    3,     
  328,19000418,   26,     
  328,19000419,    0,     
  328,19000420,    0,     
  328,19000421,    0,     
  328,19000422,    0,     
  328,19000423,    0,     
  328,19000424,    0,     
  328,19000425,    0,     
  328,19000426,    8,     
  328,19000427,    0,     
  328,19000428,    0,     
  328,19000429,    8,     
  328,19000430,    0,     
  328,19000501,    6,     
  328,19000502,   12,     
  328,19000503,    0,     
  328,19000504,    0,     
  328,19000505,    0,     
  328,19000506,    0,     
  328,19000507,    0,     
  328,19000508,    0,     
  328,19000509,   15,     
  328,19000510,   90,     
  328,19000511,    0,     
  328,19000512,    0,     
  328,19000513,    0,     
  328,19000514,    0,     
  328,19000515,    0,     
  328,19000516,    0,     
  328,19000517,    0,     
  328,19000518,    0,     
  328,19000519,    0,     
  328,19000520,   45,     
  328,19000521,    6,     
  328,19000522,    0,     
  328,19000523,    0,     
  328,19000524,    5,     
  328,19000525,    3,     
  328,19000526,  183,     
  328,19000527,   25,     
  328,19000528,    0,     
  328,19000529,    0,     
  328,19000530,   28,     
  328,19000531,   50,     
  328,19000601,   10,     
  328,19000602,  148,     
  328,19000603,   58,     
  328,19000604,   18,     
  328,19000605,    0,     
  328,19000606,    0,     
  328,19000607,   50,     
  328,19000608,   30,     
  328,19000609,    7,     
  328,19000610,   57,     
  328,19000611,    0,     
  328,19000612,    0,     
  328,19000613,    0,     
  328,19000614,    0,     
  328,19000615,    7,     
  328,19000616,    0,     
  328,19000617,   30,     
  328,19000618,    0,     
  328,19000619,    2,     
  328,19000620,    0,     
  328,19000621,    0,     
  328,19000622,  115,     
  328,19000623,  208,     
  328,19000624,   40,     
  328,19000625,   57,     
  328,19000626,   38,     
  328,19000627,  290,     
  328,19000628,   95,     
  328,19000629,    0,     
  328,19000630,    0,     
  328,19000701,    0,     
  328,19000702,   13,     
  328,19000703,   18,     
  328,19000704,   35,     
  328,19000705,    0,     
  328,19000706,    0,     
  328,19000707,    5,     
  328,19000708,  155,     
  328,19000709,    8,     
  328,19000710,    5,     
  328,19000711,  135,     
  328,19000712,    4,     
  328,19000713,    0,     
  328,19000714,    0,     
  328,19000715,    0,     
  328,19000716,    0,     
  328,19000717,    0,     
  328,19000718,  390,     
  328,19000719,    0,     
  328,19000720,    0,     
  328,19000721,    0,     
  328,19000722,    0,     
  328,19000723,    0,     
  328,19000724,    0,     
  328,19000725,    0,     
  328,19000726,    0,     
  328,19000727,    0,     
  328,19000728,    0,     
  328,19000729,    8,     
  328,19000730,    0,     
  328,19000731,   57,     
  328,19000801,   62,     
  328,19000802,    0,     
  328,19000803,   61,     
  328,19000804,   22,     
  328,19000805,   65,     
  328,19000806,  232,     
  328,19000807,   42,     
  328,19000808,   52,     
  328,19000809,    0,     
  328,19000810,  110,     
  328,19000811,  138,     
  328,19000812,  200,     
  328,19000813,    0,     
  328,19000814,   40,     
  328,19000815,    0,     
  328,19000816,    0,     
  328,19000817,    0,     
  328,19000818,    0,     
  328,19000819,    0,     
  328,19000820,    0,     
  328,19000821,    0,     
  328,19000822,  193,     
  328,19000823,  248,     
  328,19000824,    0,     
  328,19000825,   33,     
  328,19000826,  115,     
  328,19000827,   45,     
  328,19000828,    0,     
  328,19000829,    0,     
  328,19000830,    0,     
  328,19000831,    0,     
  328,19000901,    0,     
  328,19000902,    0,     
  328,19000903,   28,     
  328,19000904,   12,     
  328,19000905,    0,     
  328,19000906,    0,     
  328,19000907,    0,     
  328,19000908,    0,     
  328,19000909,   61,     
  328,19000910,    2,     
  328,19000911,   10,     
  328,19000912,   20,     
  328,19000913,    2,     
  328,19000914,    0,     
  328,19000915,    0,     
  328,19000916,    0,     
  328,19000917,    0,     
  328,19000918,    0,     
  328,19000919,    0,     
  328,19000920,   70,     
  328,19000921,   13,     
  328,19000922,    0,     
  328,19000923,    0,     
  328,19000924,    0,     
  328,19000925,    0,     
  328,19000926,   30,     
  328,19000927,    0,     
  328,19000928,    0,     
  328,19000929,    1,     
  328,19000930,    8,     
  328,19001001,    0,     
  328,19001002,    7,     
  328,19001003,    0,     
  328,19001004,    0,     
  328,19001005,   35,     
  328,19001006,   25,     
  328,19001007,   20,     
  328,19001008,    0,     
  328,19001009,    0,     
  328,19001010,    0,     
  328,19001011,    0,     
  328,19001012,   80,     
  328,19001013,    0,     
  328,19001014,    0,     
  328,19001015,   32,     
  328,19001016,  112,     
  328,19001017,   95,     
  328,19001018,   18,     
  328,19001019,   80,     
  328,19001020,    4,     
  328,19001021,    0,     
  328,19001022,   27,     
  328,19001023,    0,     
  328,19001024,    0,     
  328,19001025,    2,     
  328,19001026,   23,     
