# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 666         Winterswijk Sibinkweg
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  666,19000101,   57,     
  666,19000102,    0,     
  666,19000103,    0,     
  666,19000104,   45,     
  666,19000105,   38,     
  666,19000106,    0,     
  666,19000107,    0,     
  666,19000108,    1,     
  666,19000109,    0,     
  666,19000110,    2,     
  666,19000111,   16,     
  666,19000112,   80,     
  666,19000113,   16,     
  666,19000114,    0,     
  666,19000115,    0,     
  666,19000116,    0,     
  666,19000117,   13,     
  666,19000118,   30,     
  666,19000119,   15,     
  666,19000120,   26,     
  666,19000121,   75,     
  666,19000122,    0,     
  666,19000123,  110,     
  666,19000124,   10,     
  666,19000125,   14,     
  666,19000126,   65,     
  666,19000127,    0,     
  666,19000128,    3,     
  666,19000129,  103,     
  666,19000130,   35,     
  666,19000131,    0,     
  666,19000201,   50,     
  666,19000202,    0,     
  666,19000203,    0,     
  666,19000204,    0,     
  666,19000205,    0,     
  666,19000206,    0,     
  666,19000207,    2,     
  666,19000208,    3,     
  666,19000209,    0,     
  666,19000210,    0,     
  666,19000211,    0,     
  666,19000212,    0,     
  666,19000213,   35,     
  666,19000214,    0,     
  666,19000215,   75,     
  666,19000216,   11,     
  666,19000217,   85,     
  666,19000218,   50,     
  666,19000219,   95,     
  666,19000220,   65,     
  666,19000221,   50,     
  666,19000222,   41,     
  666,19000223,   27,     
  666,19000224,   52,     
  666,19000225,   17,     
  666,19000226,    0,     
  666,19000227,    0,     
  666,19000228,  126,     
  666,19000301,    0,     
  666,19000302,    0,     
  666,19000303,    1,     
  666,19000304,    0,     
  666,19000305,    0,     
  666,19000306,    0,     
  666,19000307,    0,     
  666,19000308,    6,     
  666,19000309,    0,     
  666,19000310,    0,     
  666,19000311,    0,     
  666,19000312,    0,     
  666,19000313,    0,     
  666,19000314,    0,     
  666,19000315,   25,     
  666,19000316,   11,     
  666,19000317,   23,     
  666,19000318,   31,     
  666,19000319,    0,     
  666,19000320,    0,     
  666,19000321,    0,     
  666,19000322,    0,     
  666,19000323,    0,     
  666,19000324,    0,     
  666,19000325,    0,     
  666,19000326,    0,     
  666,19000327,    5,     
  666,19000328,    6,     
  666,19000329,    0,     
  666,19000330,    2,     
  666,19000331,    2,     
  666,19000401,    0,     
  666,19000402,    0,     
  666,19000403,    0,     
  666,19000404,    4,     
  666,19000405,   26,     
  666,19000406,   40,     
  666,19000407,   42,     
  666,19000408,    0,     
  666,19000409,    6,     
  666,19000410,    7,     
  666,19000411,    0,     
  666,19000412,    3,     
  666,19000413,   75,     
  666,19000414,   52,     
  666,19000415,   77,     
  666,19000416,    5,     
  666,19000417,   55,     
  666,19000418,   10,     
  666,19000419,    0,     
  666,19000420,    0,     
  666,19000421,    0,     
  666,19000422,    0,     
  666,19000423,    0,     
  666,19000424,    0,     
  666,19000425,    0,     
  666,19000426,    0,     
  666,19000427,   10,     
  666,19000428,    0,     
  666,19000429,    6,     
  666,19000430,    0,     
  666,19000501,    9,     
  666,19000502,    5,     
  666,19000503,    0,     
  666,19000504,    0,     
  666,19000505,   16,     
  666,19000506,    0,     
  666,19000507,    0,     
  666,19000508,    0,     
  666,19000509,   28,     
  666,19000510,  128,     
  666,19000511,   38,     
  666,19000512,    0,     
  666,19000513,    0,     
  666,19000514,    0,     
  666,19000515,    0,     
  666,19000516,    0,     
  666,19000517,    0,     
  666,19000518,    0,     
  666,19000519,    0,     
  666,19000520,   25,     
  666,19000521,   10,     
  666,19000522,    0,     
  666,19000523,    0,     
  666,19000524,    8,     
  666,19000525,    3,     
  666,19000526,   10,     
  666,19000527,   35,     
  666,19000528,    0,     
  666,19000529,    0,     
  666,19000530,   24,     
  666,19000531,   18,     
  666,19000601,    1,     
  666,19000602,   90,     
  666,19000603,   65,     
  666,19000604,    0,     
  666,19000605,    0,     
  666,19000606,    0,     
  666,19000607,    0,     
  666,19000608,   27,     
  666,19000609,    7,     
  666,19000610,   55,     
  666,19000611,    0,     
  666,19000612,    0,     
  666,19000613,    0,     
  666,19000614,    0,     
  666,19000615,   20,     
  666,19000616,    0,     
  666,19000617,   90,     
  666,19000618,    0,     
  666,19000619,   12,     
  666,19000620,    0,     
  666,19000621,    0,     
  666,19000622,  208,     
  666,19000623,  172,     
  666,19000624,   43,     
  666,19000625,   56,     
  666,19000626,    2,     
  666,19000627,  148,     
  666,19000628,   90,     
  666,19000629,   12,     
  666,19000630,    0,     
  666,19000701,    0,     
  666,19000702,   25,     
  666,19000703,   17,     
  666,19000704,  145,     
  666,19000705,    0,     
  666,19000706,    0,     
  666,19000707,   18,     
  666,19000708,   60,     
  666,19000709,    7,     
  666,19000710,    5,     
  666,19000711,  120,     
  666,19000712,   19,     
  666,19000713,    0,     
  666,19000714,    0,     
  666,19000715,    0,     
  666,19000716,    0,     
  666,19000717,    0,     
  666,19000718,  105,     
  666,19000719,    0,     
  666,19000720,    0,     
  666,19000721,    0,     
  666,19000722,    0,     
  666,19000723,    0,     
  666,19000724,   20,     
  666,19000725,    0,     
  666,19000726,    0,     
  666,19000727,    0,     
  666,19000728,    0,     
  666,19000729,   33,     
  666,19000730,  260,     
  666,19000731,   45,     
  666,19000801,   30,     
  666,19000802,    0,     
  666,19000803,   45,     
  666,19000804,   26,     
  666,19000805,  180,     
  666,19000806,  449,     
  666,19000807,    7,     
  666,19000808,   40,     
  666,19000809,    0,     
  666,19000810,  147,     
  666,19000811,  137,     
  666,19000812,  136,     
  666,19000813,   20,     
  666,19000814,   33,     
  666,19000815,    0,     
  666,19000816,    0,     
  666,19000817,    2,     
  666,19000818,    1,     
  666,19000819,    1,     
  666,19000820,    0,     
  666,19000821,    0,     
  666,19000822,   82,     
  666,19000823,   15,     
  666,19000824,   30,     
  666,19000825,    0,     
  666,19000826,   70,     
  666,19000827,    0,     
  666,19000828,    0,     
  666,19000829,   45,     
  666,19000830,    0,     
  666,19000831,    1,     
  666,19000901,    1,     
  666,19000902,    1,     
  666,19000903,   38,     
  666,19000904,    0,     
  666,19000905,    0,     
  666,19000906,    0,     
  666,19000907,    0,     
  666,19000908,    0,     
  666,19000909,    0,     
  666,19000910,    1,     
  666,19000911,    2,     
  666,19000912,    4,     
  666,19000913,    3,     
  666,19000914,    0,     
  666,19000915,    0,     
  666,19000916,    2,     
  666,19000917,    1,     
  666,19000918,    0,     
  666,19000919,   48,     
  666,19000920,   19,     
  666,19000921,    0,     
  666,19000922,    0,     
  666,19000923,    0,     
  666,19000924,    0,     
  666,19000925,    0,     
  666,19000926,   25,     
  666,19000927,    4,     
  666,19000928,    0,     
  666,19000929,    0,     
  666,19000930,   20,     
  666,19001001,    0,     
  666,19001002,    5,     
  666,19001003,   56,     
  666,19001004,    0,     
  666,19001005,  122,     
  666,19001006,   33,     
  666,19001007,    0,     
  666,19001008,    0,     
  666,19001009,    1,     
  666,19001010,    0,     
  666,19001011,    0,     
  666,19001012,   65,     
  666,19001013,    0,     
  666,19001014,    0,     
  666,19001015,   20,     
  666,19001016,  153,     
  666,19001017,  136,     
  666,19001018,    1,     
  666,19001019,   72,     
  666,19001020,   50,     
  666,19001021,    0,     
  666,19001022,   32,     
  666,19001023,    1,     
  666,19001024,    0,     
  666,19001025,    0,     
  666,19001026,   30,     
  666,19001027,    3,     
  666,19001028,   82,     
  666,19001029,   45,     
  666,19001030,   92,     
  666,19001031,   35,     
  666,19001101,    4,     
  666,19001102,    1,     
  666,19001103,    0,     
  666,19001104,   14,     
  666,19001105,    0,     
  666,19001106,    0,     
  666,19001107,    8,     
  666,19001108,    0,     
  666,19001109,    0,     
  666,19001110,    0,     
  666,19001111,   25,     
  666,19001112,    1,     
  666,19001113,    0,     
  666,19001114,    0,     
  666,19001115,   34,     
  666,19001116,    1,     
  666,19001117,   41,     
  666,19001118,   35,     
  666,19001119,    5,     
  666,19001120,    0,     
  666,19001121,    1,     
  666,19001122,    4,     
  666,19001123,    0,     
  666,19001124,    0,     
  666,19001125,    2,     
  666,19001126,    1,     
  666,19001127,   28,     
  666,19001128,    5,     
  666,19001129,    1,     
  666,19001130,   10,     
  666,19001201,    0,     
  666,19001202,    0,     
  666,19001203,    0,     
  666,19001204,    0,     
  666,19001205,   35,     
  666,19001206,   65,     
