# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 737         Kerkwerve   
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  737,19000101,   45,     
  737,19000102,    0,     
  737,19000103,    7,     
  737,19000104,   50,     
  737,19000105,    5,     
  737,19000106,   10,     
  737,19000107,    0,     
  737,19000108,    0,     
  737,19000109,   25,     
  737,19000110,   26,     
  737,19000111,   17,     
  737,19000112,    5,     
  737,19000113,    3,     
  737,19000114,    0,     
  737,19000115,    0,     
  737,19000116,    0,     
  737,19000117,   45,     
  737,19000118,   45,     
  737,19000119,   10,     
  737,19000120,    8,     
  737,19000121,   50,     
  737,19000122,    0,     
  737,19000123,  103,     
  737,19000124,   10,     
  737,19000125,    3,     
  737,19000126,   35,     
  737,19000127,    0,     
  737,19000128,   85,     
  737,19000129,   55,     
  737,19000130,   22,     
  737,19000131,    0,     
  737,19000201,   10,     
  737,19000202,    0,     
  737,19000203,    0,     
  737,19000204,    0,     
  737,19000205,    0,     
  737,19000206,    0,     
  737,19000207,    0,     
  737,19000208,    0,     
  737,19000209,    4,     
  737,19000210,    0,     
  737,19000211,    0,     
  737,19000212,    0,     
  737,19000213,    0,     
  737,19000214,    0,     
  737,19000215,   20,     
  737,19000216,    0,     
  737,19000217,   90,     
  737,19000218,   42,     
  737,19000219,   85,     
  737,19000220,   52,     
  737,19000221,   25,     
  737,19000222,   20,     
  737,19000223,    0,     
  737,19000224,   15,     
  737,19000225,   50,     
  737,19000226,   25,     
  737,19000227,    0,     
  737,19000228,    0,     
  737,19000301,    0,     
  737,19000302,    0,     
  737,19000303,    5,     
  737,19000304,    0,     
  737,19000305,    0,     
  737,19000306,    0,     
  737,19000307,    0,     
  737,19000308,    7,     
  737,19000309,   12,     
  737,19000310,    0,     
  737,19000311,    0,     
  737,19000312,    0,     
  737,19000313,    0,     
  737,19000314,    0,     
  737,19000315,   10,     
  737,19000316,    4,     
  737,19000317,   12,     
  737,19000318,   13,     
  737,19000319,    0,     
  737,19000320,    0,     
  737,19000321,   11,     
  737,19000322,    0,     
  737,19000323,    0,     
  737,19000324,    0,     
  737,19000325,    0,     
  737,19000326,    0,     
  737,19000327,   50,     
  737,19000328,   15,     
  737,19000329,    0,     
  737,19000330,   52,     
  737,19000331,    4,     
  737,19000401,    0,     
  737,19000402,    0,     
  737,19000403,    0,     
  737,19000404,    0,     
  737,19000405,   37,     
  737,19000406,   25,     
  737,19000407,    6,     
  737,19000408,    0,     
  737,19000409,    0,     
  737,19000410,   10,     
  737,19000411,    5,     
  737,19000412,    7,     
  737,19000413,   10,     
  737,19000414,   11,     
  737,19000415,    0,     
  737,19000416,    0,     
  737,19000417,    0,     
  737,19000418,   11,     
  737,19000419,    5,     
  737,19000420,    0,     
  737,19000421,    0,     
  737,19000422,    0,     
  737,19000423,    0,     
  737,19000424,    0,     
  737,19000425,    0,     
  737,19000426,    0,     
  737,19000427,   10,     
  737,19000428,    0,     
  737,19000429,    0,     
  737,19000430,    0,     
  737,19000501,    7,     
  737,19000502,    0,     
  737,19000503,    0,     
  737,19000504,    0,     
  737,19000505,    0,     
  737,19000506,    0,     
  737,19000507,    0,     
  737,19000508,   10,     
  737,19000509,   21,     
  737,19000510,   83,     
  737,19000511,    0,     
  737,19000512,    0,     
  737,19000513,    0,     
  737,19000514,    0,     
  737,19000515,    0,     
