# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 770         Westdorpe   
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  770,19950601,    0,    0
  770,19950602,    0,    0
  770,19950603,    0,    0
  770,19950604,   28,    0
  770,19950605,  111,    0
  770,19950606,    1,    0
  770,19950607,    3,    0
  770,19950608,   56,    0
  770,19950609,   70,    0
  770,19950610,  181,    0
  770,19950611,   61,    0
  770,19950612,    3,    0
  770,19950613,   20,    0
  770,19950614,    0,    0
  770,19950615,   16,    0
  770,19950616,   80,    0
  770,19950617,   17,    0
  770,19950618,   28,    0
  770,19950619,    0,    0
  770,19950620,    0,    0
  770,19950621,    0,    0
  770,19950622,    0,    0
  770,19950623,    0,    0
  770,19950624,    0,    0
  770,19950625,    0,    0
  770,19950626,    0,    0
  770,19950627,    0,    0
  770,19950628,    0,    0
  770,19950629,    0,    0
  770,19950630,    0,    0
  770,19950701,    0,    0
  770,19950702,    0,    0
  770,19950703,   57,    0
  770,19950704,    7,    0
  770,19950705,    0,    0
  770,19950706,    0,    0
  770,19950707,    0,    0
  770,19950708,    0,    0
  770,19950709,    0,    0
  770,19950710,   14,    0
  770,19950711,   37,    0
  770,19950712,  463,    0
  770,19950713,    0,    0
  770,19950714,   41,    0
  770,19950715,   87,    0
  770,19950716,   33,    0
  770,19950717,   25,    0
  770,19950718,    0,    0
  770,19950719,    0,    0
  770,19950720,    0,    0
  770,19950721,    0,    0
  770,19950722,    0,    0
  770,19950723,    0,    0
  770,19950724,    0,    0
  770,19950725,    0,    0
  770,19950726,    0,    0
  770,19950727,    0,    0
  770,19950728,   23,    0
  770,19950729,    0,    0
  770,19950730,    0,    0
  770,19950731,    0,    0
  770,19950801,    0,    0
  770,19950802,    0,    0
  770,19950803,    0,    0
  770,19950804,    0,    0
  770,19950805,    0,    0
  770,19950806,    0,    0
  770,19950807,    0,    0
  770,19950808,    0,    0
  770,19950809,    0,    0
  770,19950810,    0,    0
  770,19950811,    0,    0
  770,19950812,    0,    0
