# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 828         Oudenbosch  
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  828,19000101,   10,     
  828,19000102,    0,     
  828,19000103,   10,     
  828,19000104,   61,     
  828,19000105,    5,     
  828,19000106,    1,     
  828,19000107,    0,     
  828,19000108,    0,     
  828,19000109,    9,     
  828,19000110,   16,     
  828,19000111,   59,     
  828,19000112,   10,     
  828,19000113,    0,     
  828,19000114,    0,     
  828,19000115,    0,     
  828,19000116,    0,     
  828,19000117,   73,     
  828,19000118,   16,     
  828,19000119,   17,     
  828,19000120,    5,     
  828,19000121,   43,     
  828,19000122,    0,     
  828,19000123,   90,     
  828,19000124,    5,     
  828,19000125,    0,     
  828,19000126,   60,     
  828,19000127,    0,     
  828,19000128,   52,     
  828,19000129,   64,     
  828,19000130,    0,     
  828,19000131,    2,     
  828,19000201,   26,     
  828,19000202,    0,     
  828,19000203,    0,     
  828,19000204,    0,     
  828,19000205,    0,     
  828,19000206,    0,     
  828,19000207,    1,     
  828,19000208,    0,     
  828,19000209,    6,     
  828,19000210,    0,     
  828,19000211,    0,     
  828,19000212,    0,     
  828,19000213,    1,     
  828,19000214,    0,     
  828,19000215,   85,     
  828,19000216,    8,     
  828,19000217,   89,     
  828,19000218,   47,     
  828,19000219,  102,     
  828,19000220,   58,     
  828,19000221,   35,     
  828,19000222,   42,     
  828,19000223,    0,     
  828,19000224,    7,     
  828,19000225,   39,     
  828,19000226,   13,     
  828,19000227,    1,     
  828,19000228,    0,     
  828,19000301,   25,     
  828,19000302,    1,     
  828,19000303,    3,     
  828,19000304,    1,     
  828,19000305,    0,     
  828,19000306,    0,     
  828,19000307,    0,     
  828,19000308,    1,     
  828,19000309,    7,     
  828,19000310,    0,     
  828,19000311,    0,     
  828,19000312,    0,     
  828,19000313,    0,     
  828,19000314,    0,     
  828,19000315,    4,     
  828,19000316,    2,     
  828,19000317,   15,     
  828,19000318,   30,     
  828,19000319,   17,     
  828,19000320,    0,     
  828,19000321,   27,     
  828,19000322,   34,     
  828,19000323,   14,     
  828,19000324,    0,     
  828,19000325,    0,     
  828,19000326,    0,     
  828,19000327,    7,     
  828,19000328,    0,     
  828,19000329,   27,     
  828,19000330,    5,     
  828,19000331,    2,     
  828,19000401,    0,     
  828,19000402,    0,     
  828,19000403,    0,     
  828,19000404,    0,     
  828,19000405,   54,     
  828,19000406,   51,     
  828,19000407,    1,     
  828,19000408,    3,     
  828,19000409,    0,     
  828,19000410,    1,     
  828,19000411,    2,     
  828,19000412,    5,     
  828,19000413,   59,     
  828,19000414,   27,     
  828,19000415,    0,     
  828,19000416,    0,     
  828,19000417,   11,     
  828,19000418,    2,     
  828,19000419,    1,     
  828,19000420,    0,     
  828,19000421,    0,     
  828,19000422,    0,     
  828,19000423,    0,     
  828,19000424,    0,     
  828,19000425,    0,     
  828,19000426,    0,     
  828,19000427,    4,     
