# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 961         Roermond    
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  961,19000101,   16,     
  961,19000102,    0,     
  961,19000103,   15,     
  961,19000104,   40,     
  961,19000105,   60,     
  961,19000106,    0,     
  961,19000107,    0,     
  961,19000108,    0,     
  961,19000109,    0,     
  961,19000110,   24,     
  961,19000111,    0,     
  961,19000112,   55,     
  961,19000113,    0,     
  961,19000114,    0,     
  961,19000115,    0,     
  961,19000116,    0,     
  961,19000117,   85,     
  961,19000118,    0,     
  961,19000119,   40,     
  961,19000120,    0,     
  961,19000121,   72,     
  961,19000122,    0,     
  961,19000123,   70,     
  961,19000124,   40,     
  961,19000125,    0,     
  961,19000126,   23,     
  961,19000127,    0,     
  961,19000128,    0,     
  961,19000129,    0,     
  961,19000130,   81,     
  961,19000131,   11,     
  961,19000201,   68,     
  961,19000202,    7,     
  961,19000203,    4,     
  961,19000204,    0,     
  961,19000205,    0,     
  961,19000206,    0,     
  961,19000207,    0,     
  961,19000208,   65,     
  961,19000209,    0,     
  961,19000210,    0,     
  961,19000211,    0,     
  961,19000212,    0,     
  961,19000213,   21,     
  961,19000214,    0,     
  961,19000215,  104,     
  961,19000216,   32,     
  961,19000217,  105,     
  961,19000218,   50,     
  961,19000219,    0,     
  961,19000220,   73,     
  961,19000221,   27,     
  961,19000222,   42,     
  961,19000223,    0,     
  961,19000224,    0,     
  961,19000225,   38,     
  961,19000226,    0,     
  961,19000227,    0,     
  961,19000228,    0,     
  961,19000301,    0,     
  961,19000302,   80,     
  961,19000303,    0,     
  961,19000304,    0,     
  961,19000305,    0,     
  961,19000306,    3,     
  961,19000307,    0,     
  961,19000308,    0,     
  961,19000309,    0,     
  961,19000310,    0,     
  961,19000311,    0,     
  961,19000312,    0,     
  961,19000313,    0,     
  961,19000314,    0,     
  961,19000315,   17,     
  961,19000316,    5,     
  961,19000317,    6,     
  961,19000318,   40,     
  961,19000319,    5,     
  961,19000320,    5,     
  961,19000321,    0,     
  961,19000322,    0,     
  961,19000323,    3,     
  961,19000324,    0,     
  961,19000325,    8,     
  961,19000326,    0,     
  961,19000327,    0,     
  961,19000328,   22,     
  961,19000329,    0,     
  961,19000330,    0,     
  961,19000331,   67,     
  961,19000401,    0,     
  961,19000402,    0,     
  961,19000403,    0,     
  961,19000404,    3,     
  961,19000405,   49,     
  961,19000406,   67,     
  961,19000407,   24,     
  961,19000408,    0,     
  961,19000409,    0,     
  961,19000410,   50,     
  961,19000411,    0,     
  961,19000412,    0,     
  961,19000413,    4,     
  961,19000414,    0,     
  961,19000415,    0,     
  961,19000416,    0,     
  961,19000417,   70,     
  961,19000418,   75,     
  961,19000419,    0,     
  961,19000420,    0,     
  961,19000421,    0,     
  961,19000422,    0,     
  961,19000423,    0,     
  961,19000424,    0,     
  961,19000425,    0,     
  961,19000426,    0,     
  961,19000427,   11,     
  961,19000428,    0,     
  961,19000429,    0,     
  961,19000430,    0,     
  961,19000501,    0,     
  961,19000502,   34,     
  961,19000503,    0,     
  961,19000504,    0,     
  961,19000505,    0,     
  961,19000506,    0,     
  961,19000507,    0,     
  961,19000508,    0,     
  961,19000509,  160,     
  961,19000510,  170,     
  961,19000511,   20,     
  961,19000512,    0,     
  961,19000513,    0,     
  961,19000514,    0,     
  961,19000515,    0,     
  961,19000516,    0,     
  961,19000517,    0,     
  961,19000518,    0,     
  961,19000519,    0,     
  961,19000520,    0,     
  961,19000521,   16,     
  961,19000522,    0,     
  961,19000523,    0,     
  961,19000524,   55,     
  961,19000525,    0,     
  961,19000526,   22,     
  961,19000527,    0,     
  961,19000528,    0,     
  961,19000529,    0,     
  961,19000530,   20,     
  961,19000531,   37,     
  961,19000601,  140,     
  961,19000602,   76,     
  961,19000603,    0,     
  961,19000604,    0,     
  961,19000605,    0,     
  961,19000606,    0,     
  961,19000607,    0,     
  961,19000608,   33,     
  961,19000609,    0,     
  961,19000610,   57,     
  961,19000611,    0,     
  961,19000612,    0,     
  961,19000613,    0,     
  961,19000614,   40,     
  961,19000615,   30,     
  961,19000616,   90,     
  961,19000617,   16,     
  961,19000618,    0,     
  961,19000619,   32,     
  961,19000620,    0,     
  961,19000621,   75,     
  961,19000622,   65,     
  961,19000623,   20,     
  961,19000624,   42,     
  961,19000625,  114,     
  961,19000626,    0,     
  961,19000627,   33,     
  961,19000628,   30,     
  961,19000629,    0,     
  961,19000630,    0,     
  961,19000701,    0,     
  961,19000702,    0,     
  961,19000703,   70,     
  961,19000704,  160,     
  961,19000705,    0,     
  961,19000706,    0,     
  961,19000707,    0,     
  961,19000708,   62,     
  961,19000709,    0,     
  961,19000710,   24,     
  961,19000711,  110,     
  961,19000712,    5,     
  961,19000713,    0,     
  961,19000714,    0,     
  961,19000715,    0,     
  961,19000716,    0,     
  961,19000717,    0,     
  961,19000718,   46,     
  961,19000719,    0,     
  961,19000720,    0,     
  961,19000721,    0,     
  961,19000722,    0,     
  961,19000723,    0,     
  961,19000724,    0,     
  961,19000725,    0,     
  961,19000726,    0,     
  961,19000727,    0,     
  961,19000728,    0,     
  961,19000729,   75,     
  961,19000730,  294,     
  961,19000731,  105,     
  961,19000801,   71,     
  961,19000802,    0,     
  961,19000803,   10,     
  961,19000804,   37,     
  961,19000805,  101,     
  961,19000806,    0,     
  961,19000807,   35,     
  961,19000808,   61,     
  961,19000809,    0,     
  961,19000810,   30,     
  961,19000811,  190,     
  961,19000812,  184,     
  961,19000813,    0,     
  961,19000814,   27,     
  961,19000815,    0,     
  961,19000816,    0,     
  961,19000817,    0,     
  961,19000818,    0,     
  961,19000819,    0,     
  961,19000820,    0,     
  961,19000821,    0,     
  961,19000822,  544,     
  961,19000823,   32,     
  961,19000824,   50,     
  961,19000825,   80,     
  961,19000826,    0,     
  961,19000827,    0,     
  961,19000828,    0,     
  961,19000829,  129,     
  961,19000830,    0,     
  961,19000831,    0,     
  961,19000901,    0,     
  961,19000902,    0,     
  961,19000903,   70,     
  961,19000904,    0,     
  961,19000905,    0,     
  961,19000906,    0,     
  961,19000907,    0,     
  961,19000908,    0,     
  961,19000909,    0,     
  961,19000910,    0,     
  961,19000911,    0,     
  961,19000912,    0,     
  961,19000913,    0,     
  961,19000914,    0,     
  961,19000915,    0,     
  961,19000916,    0,     
  961,19000917,    0,     
  961,19000918,    0,     
  961,19000919,    9,     
  961,19000920,    0,     
  961,19000921,    0,     
  961,19000922,    0,     
  961,19000923,    0,     
  961,19000924,    0,     
  961,19000925,    0,     
  961,19000926,  200,     
  961,19000927,    0,     
  961,19000928,    0,     
  961,19000929,    0,     
  961,19000930,    9,     
  961,19001001,    0,     
  961,19001002,   25,     
  961,19001003,  101,     
  961,19001004,    0,     
  961,19001005,   20,     
  961,19001006,    0,     
  961,19001007,    0,     
  961,19001008,    0,     
  961,19001009,    0,     
  961,19001010,    0,     
  961,19001011,    0,     
  961,19001012,   46,     
  961,19001013,    0,     
  961,19001014,    0,     
  961,19001015,    0,     
  961,19001016,  120,     
  961,19001017,   20,     
  961,19001018,    0,     
  961,19001019,  120,     
  961,19001020,    6,     
  961,19001021,    0,     
  961,19001022,    0,     
  961,19001023,    0,     
  961,19001024,    0,     
  961,19001025,    0,     
  961,19001026,   45,     
  961,19001027,    6,     
  961,19001028,   63,     
  961,19001029,   97,     
  961,19001030,   70,     
  961,19001031,   60,     
  961,19001101,   75,     
  961,19001102,    0,     
  961,19001103,    5,     
  961,19001104,    0,     
  961,19001105,    0,     
  961,19001106,    0,     
  961,19001107,   15,     
  961,19001108,    0,     
  961,19001109,    0,     
  961,19001110,    0,     
  961,19001111,   30,     
  961,19001112,    0,     
  961,19001113,    0,     
  961,19001114,    0,     
  961,19001115,   76,     
  961,19001116,    8,     
  961,19001117,   15,     
  961,19001118,   34,     
  961,19001119,   10,     
  961,19001120,   34,     
  961,19001121,   10,     
  961,19001122,    0,     
  961,19001123,    0,     
  961,19001124,    0,     
  961,19001125,    0,     
  961,19001126,    0,     
  961,19001127,   30,     
  961,19001128,    0,     
  961,19001129,   15,     
  961,19001130,   13,     
  961,19001201,    0,     
  961,19001202,    0,     
  961,19001203,    0,     
  961,19001204,    0,     
  961,19001205,    0,     
  961,19001206,   35,     
  961,19001207,  132,     
  961,19001208,  198,     
  961,19001209,    0,     
  961,19001210,    0,     
  961,19001211,    0,     
  961,19001212,    0,     
  961,19001213,    0,     
  961,19001214,    0,     
  961,19001215,   15,     
  961,19001216,    0,     
  961,19001217,    0,     
  961,19001218,    0,     
  961,19001219,    0,     
  961,19001220,    0,     
  961,19001221,    0,     
  961,19001222,   36,     
  961,19001223,    0,     
  961,19001224,    0,     
  961,19001225,    0,     
  961,19001226,    0,     
  961,19001227,    0,     
  961,19001228,   50,     
  961,19001229,   40,     
  961,19001230,   45,     
  961,19001231,   23,     
  961,19010101,    0,     
  961,19010102,  130,     
  961,19010103,    0,     
  961,19010104,   50,     
  961,19010105,    0,     
  961,19010106,    0,     
  961,19010107,    0,     
  961,19010108,    0,     
  961,19010109,    0,     
  961,19010110,    0,     
  961,19010111,    0,     
  961,19010112,    0,     
  961,19010113,    0,     
  961,19010114,    0,     
